"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-157","0","-187","0","-185","0","-173","0","-162","0","-194","0","-181","0","-192","0","-166","0","-163","0","-193","0","-186","0","-188","0","-160","0","22","0","24","0","?","0","0","0"
"-105","0","-148","0","-184","0","-172","0","-56","0","-188","0","-181","0","-160","0","-169","0","-116","0","-119","0","-150","0","-166","0","-120","0","21","0","24","0","?","0","114","2640"
"-129","0","-153","0","-184","0","-170","0","-53","0","-193","0","-183","0","-144","0","-180","0","-134","0","-119","0","-149","0","-164","0","-137","0","21","0","24","0","?","0","115","0"
"-160","0","-154","0","-185","0","-169","0","-76","0","-200","0","-175","0","-148","0","-176","0","-132","0","-137","0","-152","0","-175","0","-154","0","22","0","24","0","?","0","116","1768"
"-137","0","-148","0","-183","0","-170","0","-68","0","-181","0","-174","0","-154","0","-172","0","-114","0","-124","0","-149","0","-183","0","-140","0","22","0","24","0","?","0","117","7048"
"-118","0","-158","0","-183","0","-169","0","-56","0","-178","0","-181","0","-156","0","-173","0","-122","0","-107","0","-159","0","-172","0","-139","0","21","0","24","0","?","0","118","2624"
"-145","0","-183","0","-189","0","-169","0","-76","0","-206","0","-184","0","-169","0","-169","0","-147","0","-127","0","-182","0","-156","0","-162","0","22","0","24","0","?","0","119","0"
"-162","0","-200","0","-191","0","-169","0","-95","0","-218","0","-183","0","-185","0","-180","0","-167","0","-143","0","-192","0","-170","0","-155","0","22","0","24","0","?","0","120","1776"
"-157","0","-211","0","-184","0","-169","0","-95","0","-218","0","-179","0","-193","0","-174","0","-172","0","-146","0","-188","0","-193","0","-142","0","22","0","24","0","?","0","121","7064"
"-166","0","-217","0","-186","0","-169","0","-103","0","-222","0","-181","0","-183","0","-177","0","-161","0","-176","0","-184","0","-186","0","-159","0","21","0","24","0","?","0","122","2640"
"-166","0","-195","0","-192","0","-169","0","-107","0","-206","0","-185","0","-178","0","-185","0","-141","0","-178","0","-180","0","-173","0","-172","0","21","0","24","0","?","0","123","24"
"-148","0","-175","0","-183","0","-169","0","-96","0","-184","0","-180","0","-186","0","-170","0","-136","0","-130","0","-181","0","-178","0","-156","0","21","0","24","0","?","0","124","1776"
"-154","0","-192","0","-182","0","-169","0","-107","0","-203","0","-176","0","-180","0","-180","0","-156","0","-135","0","-185","0","-187","0","-147","0","21","0","24","0","?","0","125","7048"
"-163","0","-192","0","-188","0","-169","0","-116","0","-208","0","-178","0","-157","0","-182","0","-153","0","-176","0","-168","0","-185","0","-158","0","21","0","24","0","?","0","126","2648"
"-139","0","-155","0","-184","0","-168","0","-94","0","-171","0","-182","0","-147","0","-175","0","-126","0","-151","0","-160","0","-182","0","-155","0","21","0","24","0","?","0","127","16"
"-130","0","-139","0","-184","0","-172","0","-83","0","-154","0","-184","0","-158","0","-182","0","-123","0","-106","0","-175","0","-180","0","-140","0","21","0","24","0","?","0","244","1760"
"-148","32","-159","0","-190","0","-174","0","-93","0","-170","0","-178","0","-155","0","-175","0","-140","0","-121","0","-169","0","-176","0","-140","0","22","0","24","0","?","0","244","1760"
"-157","32","-173","0","-189","0","-170","0","-96","0","-181","0","-177","0","-154","0","-178","0","-153","0","-154","0","-157","0","-176","0","-149","2368","21","0","24","0","?","0","244","1760"
"-158","32","-179","0","-185","0","-169","0","-108","0","-184","0","-180","0","-176","0","-176","0","-154","0","-166","2560","-178","0","-184","0","-150","2368","22","0","24","0","?","0","244","1760"
"-175","32","-200","0","-189","0","-171","0","-133","2360","-198","0","-176","0","-195","0","-172","0","-157","0","-170","2560","-195","0","-189","0","-158","2368","22","0","24","0","?","0","244","1760"
"-185","32","-218","0","-190","0","-172","0","-146","2360","-225","0","-174","8","-193","0","-180","0","-170","0","-162","2560","-185","0","-187","0","-183","2368","22","0","24","0","?","0","244","1760"
"-181","32","-217","0","-182","24","-170","0","-145","2360","-236","0","-180","8","-178","0","-171","0","-165","0","-156","2560","-177","0","-181","0","-191","2368","22","0","24","0","?","0","244","1760"
"-185","32","-206","0","-187","24","-171","0","-142","2360","-217","0","-184","8","-158","0","-175","0","-149","0","-168","2560","-161","0","-175","7240","-176","2368","22","0","24","0","?","0","244","1760"
"-188","32","-196","0","-190","24","-172","0","-151","2360","-208","0","-176","8","-149","0","-174","0","-152","0","-185","2560","-149","6384","-178","7240","-180","2368","22","0","24","0","?","0","244","1760"
"-190","32","-196","0","-186","24","-166","0","-151","2360","-216","0","-175","8","-154","0","-170","0","-158","0","-192","2560","-155","6384","-176","7240","-189","2368","22","0","24","0","?","0","244","1760"
"-173","32","-180","0","-182","24","-158","16","-123","2360","-187","0","-182","8","-143","0","-177","0","-141","0","-172","2560","-150","6384","-166","7240","-163","2368","22","0","24","0","?","0","244","1760"
"-151","32","-156","0","-184","24","-157","16","-110","2360","-156","2632","-182","8","-138","0","-167","0","-119","0","-145","2560","-150","6384","-175","7240","-145","2368","22","0","24","0","?","0","244","1760"
"-164","32","-171","0","-190","24","-164","16","-128","2360","-172","2632","-179","8","-163","0","-175","24","-131","0","-157","2560","-171","6384","-189","7240","-167","2368","21","0","24","0","?","0","244","1760"
"-186","32","-198","1760","-185","24","-170","16","-132","2360","-195","2632","-183","8","-173","0","-178","24","-155","0","-180","2560","-181","6384","-188","7240","-175","2368","22","0","24","0","?","0","244","1760"
"-180","32","-192","1760","-181","24","-170","16","-128","2360","-188","2632","-183","8","-158","0","-169","24","-162","7064","-153","2560","-168","6384","-181","7240","-162","2368","21","0","24","0","?","0","244","1760"
"-173","32","-186","1760","-192","24","-171","16","-134","2360","-180","2640","-178","8","-169","0","-180","24","-163","7064","-126","2560","-174","6384","-178","7240","-167","2368","21","0","24","0","?","0","244","1760"
"-178","32","-198","1760","-191","24","-169","16","-134","2360","-188","2640","-173","8","-197","0","-174","24","-155","7064","-146","2560","-192","6384","-181","7240","-182","2368","21","0","24","0","?","0","244","1760"
"-176","32","-195","1760","-180","24","-168","16","-133","2360","-190","2640","-177","8","-179","0","-174","24","-147","7064","-163","2560","-174","6384","-180","7240","-183","2368","21","0","24","0","?","0","16","0"
"-174","32","-183","1760","-181","24","-175","16","-142","2360","-183","2640","-178","8","-138","0","-177","24","-146","7064","-175","2560","-141","6384","-171","7240","-166","2368","21","0","23","0","?","0","17","8"
"-175","32","-182","1760","-185","24","-177","16","-144","2360","-180","2640","-170","8","-148","0","-174","24","-139","7064","-186","2560","-148","6384","-172","7240","-157","2368","21","0","23","0","?","0","18","0"
"-175","32","-192","1760","-182","24","-169","16","-145","2360","-198","2640","-176","8","-184","0","-184","24","-141","7064","-186","2560","-172","6384","-186","7240","-170","2368","21","0","23","0","?","0","19","16"
"-179","32","-198","1760","-181","24","-168","16","-146","2360","-198","2640","-183","8","-175","0","-173","24","-142","7064","-179","2560","-163","6384","-187","7240","-181","2368","21","0","24","0","?","0","20","8"
"-180","32","-185","1760","-182","24","-173","16","-143","2360","-161","2640","-179","8","-147","0","-166","24","-138","7064","-152","2560","-144","6384","-176","7240","-173","2368","21","0","24","0","?","0","21","0"
"-181","32","-173","1760","-184","24","-168","16","-172","2360","-143","2640","-174","8","-159","0","-174","24","-142","7064","-140","2560","-151","6384","-167","7240","-176","2368","21","0","24","0","?","0","22","8"
"-184","32","-175","1760","-183","24","-160","16","-215","2360","-153","2640","-173","8","-180","0","-170","24","-142","7064","-169","2560","-168","6384","-177","7240","-188","2368","21","0","23","0","?","0","23","24"
"-185","32","-182","1760","-180","24","-167","16","-217","2360","-151","2640","-179","8","-179","0","-177","24","-144","7064","-175","2560","-178","6384","-196","7240","-183","2368","21","0","24","0","?","0","24","0"
"-182","32","-181","1760","-183","24","-174","16","-213","2360","-145","2640","-177","8","-169","0","-171","24","-151","7064","-154","2560","-168","6384","-179","7240","-184","2368","22","0","24","0","?","0","25","8"
"-179","32","-161","1760","-191","24","-173","16","-224","2360","-141","2640","-175","8","-156","0","-169","24","-147","7064","-157","2560","-150","6384","-161","7240","-192","2368","22","0","24","0","?","0","26","24"
"-172","32","-143","1760","-187","24","-167","16","-216","2360","-120","2640","-179","8","-162","0","-176","24","-134","7064","-158","2560","-161","6384","-178","7240","-185","2368","22","0","24","0","?","0","27","16"
"-167","32","-148","1760","-182","24","-167","16","-208","2360","-116","2640","-177","8","-179","0","-166","24","-129","7064","-149","2560","-177","6384","-189","7240","-177","2368","22","0","24","0","?","0","28","24"
"-175","32","-156","1760","-190","24","-170","16","-234","2360","-146","2640","-174","8","-164","0","-174","24","-139","7064","-156","2560","-160","6384","-173","7240","-192","2368","22","0","24","0","?","0","29","24"
"-186","32","-158","1760","-194","24","-170","16","-254","2360","-158","2640","-175","8","-146","0","-172","24","-150","7064","-158","2560","-149","6384","-173","7240","-213","2368","22","0","24","0","?","0","30","24"
"-189","32","-150","1760","-188","24","-170","16","-232","2360","-130","2640","-177","8","-159","0","-167","24","-144","7064","-151","2560","-157","6384","-183","7240","-201","2368","22","0","24","0","?","0","31","8"
"-181","32","-136","1760","-185","24","-169","16","-203","2360","-108","2640","-177","8","-161","0","-176","24","-128","7064","-156","2560","-158","6384","-174","7240","-174","2368","22","0","24","0","?","0","32","16"
"-174","32","-144","1760","-187","24","-169","16","-223","2360","-129","2640","-178","8","-150","0","-169","24","-134","7064","-176","2560","-158","6384","-173","7240","-187","2368","22","0","24","0","?","0","33","24"
"-187","32","-162","1760","-186","24","-169","16","-255","2360","-156","2640","-184","8","-154","0","-173","24","-161","7064","-194","2560","-162","6384","-173","7240","-216","2368","22","0","24","0","?","0","34","24"
"-190","32","-159","1760","-183","24","-169","16","-237","2360","-151","2640","-185","8","-150","0","-173","24","-159","7064","-186","2560","-151","6384","-162","7240","-204","2368","22","0","24","0","?","0","35","16"
"-169","32","-153","1760","-185","24","-169","16","-216","2360","-150","2640","-181","8","-147","0","-168","24","-142","7064","-173","2560","-156","6384","-169","7240","-181","2368","21","0","24","0","?","0","36","24"
"-159","32","-153","1760","-191","24","-169","16","-223","2360","-157","2640","-174","8","-151","0","-171","24","-145","7064","-171","2560","-162","6384","-174","7240","-179","2368","22","0","24","0","?","0","37","16"
"-162","32","-145","1760","-187","24","-169","16","-215","2360","-145","2640","-173","8","-131","0","-161","24","-138","7064","-147","2560","-133","6384","-152","7240","-178","2368","21","0","24","0","?","0","38","0"
"-168","32","-150","1760","-181","24","-169","16","-212","2360","-148","2640","-183","8","-126","0","-171","24","-140","7064","-136","2560","-129","6384","-148","7240","-180","2368","21","0","24","0","?","0","39","0"
"-181","32","-165","1760","-186","24","-169","16","-232","2360","-174","2640","-184","8","-157","0","-171","24","-158","7064","-174","2560","-156","6384","-169","7240","-193","2368","21","0","24","0","?","0","40","24"
"-184","32","-158","1760","-189","24","-169","16","-226","2360","-169","2640","-172","8","-149","0","-167","24","-150","7064","-195","2560","-144","6384","-160","7240","-190","2368","21","0","24","0","?","0","41","0"
"-170","32","-149","1760","-190","24","-169","16","-209","2360","-143","2640","-174","8","-121","0","-181","24","-135","7064","-175","2560","-126","6384","-140","7240","-178","2368","21","0","24","0","?","0","42","0"
"-157","32","-149","1760","-185","24","-169","16","-217","2360","-147","2640","-178","8","-137","0","-166","24","-136","7064","-166","2560","-148","6384","-154","7240","-182","2368","21","0","24","0","?","0","43","16"
"-154","32","-145","1760","-176","24","-169","16","-217","2360","-155","2640","-173","8","-157","0","-162","24","-137","7064","-155","2560","-160","6384","-165","7240","-182","2368","21","0","24","0","?","0","44","24"
"-163","32","-141","1760","-176","24","-169","16","-216","2360","-136","2640","-171","8","-148","0","-170","24","-135","7064","-144","2560","-151","6384","-165","7240","-181","2368","21","0","24","0","?","0","45","24"
"-177","32","-152","1760","-185","24","-169","16","-237","2360","-132","2640","-176","8","-157","0","-167","24","-141","7064","-180","2560","-156","6384","-169","7240","-193","2368","21","0","24","0","?","0","46","24"
"-171","32","-147","1760","-191","24","-169","16","-245","2360","-134","2640","-176","8","-161","0","-173","24","-142","7064","-189","2560","-151","6384","-166","7240","-191","2368","21","0","24","0","?","0","47","16"
"-160","32","-125","1760","-186","24","-169","16","-244","2360","-110","2640","-174","8","-146","0","-166","24","-130","7064","-154","2560","-139","6384","-159","7240","-188","2368","21","0","24","0","?","0","48","8"
"-178","32","-121","1760","-185","24","-169","16","-251","2360","-96","2640","-183","8","-149","0","-172","24","-125","7064","-164","2560","-148","6384","-158","7240","-209","2368","21","0","24","0","?","0","49","16"
"-178","32","-118","1760","-188","24","-169","16","-238","2360","-103","2640","-187","8","-148","0","-181","24","-119","7064","-184","2560","-152","6384","-158","7240","-212","2368","21","0","24","0","?","0","50","16"
"-149","32","-99","1760","-188","24","-169","16","-226","2360","-98","2640","-180","8","-131","0","-170","24","-109","7064","-166","2560","-137","6384","-155","7240","-193","2368","21","0","24","0","?","0","51","8"
"-157","32","-92","1760","-187","24","-169","16","-231","2360","-87","2640","-182","8","-121","0","-175","24","-112","7064","-160","2560","-122","6384","-153","7240","-186","2368","21","0","24","0","?","0","52","24"
"-178","32","-99","1760","-184","24","-169","16","-236","2360","-91","2640","-182","8","-124","0","-169","24","-118","7064","-177","2560","-128","6384","-154","7240","-191","2368","21","0","24","0","?","0","53","16"
"-165","32","-95","1760","-183","24","-169","16","-237","2360","-93","2640","-177","8","-133","0","-168","24","-115","7064","-167","2560","-144","6384","-153","7240","-184","2368","21","0","24","0","?","0","54","24"
"-158","32","-90","1760","-186","24","-169","16","-239","2360","-91","2640","-175","8","-140","0","-176","24","-119","7064","-152","2560","-143","6384","-149","7240","-179","2368","21","0","24","0","?","0","55","24"
