"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-238","0","-248","0","-188","0","-169","0","-231","0","-231","0","-182","0","-223","0","-169","0","-215","0","-228","0","-214","0","-225","0","-234","0","22","0","24","0","?","0","24","24"
"-224","0","-236","0","-186","0","-169","0","-213","0","-223","0","-180","0","-225","0","-173","0","-204","0","-198","0","-220","0","-225","0","-219","0","22","0","24","0","?","0","25","24"
"-212","0","-230","0","-187","0","-169","0","-204","0","-209","0","-186","0","-213","0","-173","0","-190","0","-183","0","-213","0","-214","0","-200","0","22","0","24","0","?","0","26","16"
"-227","0","-230","0","-188","0","-169","0","-217","0","-214","0","-184","0","-212","0","-168","0","-190","0","-209","0","-202","0","-208","0","-212","0","22","0","24","0","?","0","27","0"
"-241","0","-217","0","-185","0","-169","0","-226","0","-225","0","-178","0","-210","0","-181","0","-194","0","-241","0","-194","0","-202","0","-229","0","22","0","24","0","?","0","28","16"
"-229","0","-207","0","-182","0","-169","0","-220","0","-221","0","-178","0","-193","0","-171","0","-188","0","-227","0","-192","0","-197","0","-218","0","22","0","24","0","?","0","29","24"
"-217","0","-207","0","-187","0","-169","0","-210","0","-199","0","-183","0","-183","0","-169","0","-169","0","-190","0","-199","0","-202","0","-207","0","22","0","24","0","?","0","30","16"
"-214","0","-206","0","-191","0","-169","0","-208","0","-189","0","-180","0","-200","0","-178","0","-164","0","-193","0","-212","0","-210","0","-213","0","22","0","24","0","?","0","31","16"
"-217","0","-215","0","-185","0","-169","0","-218","0","-212","0","-175","0","-219","0","-170","0","-176","0","-217","0","-217","0","-214","0","-222","0","22","0","24","0","?","0","32","16"
"-225","0","-229","0","-183","0","-169","0","-232","0","-235","0","-181","0","-219","0","-177","0","-188","0","-223","0","-216","0","-215","0","-228","0","21","0","24","0","?","0","33","8"
"-211","0","-223","0","-188","0","-169","0","-228","0","-215","0","-184","0","-206","0","-175","0","-180","0","-208","0","-212","0","-209","0","-223","0","21","0","24","0","?","0","34","24"
"-188","0","-214","0","-187","0","-169","0","-212","0","-188","0","-180","0","-199","0","-173","0","-174","0","-200","0","-206","0","-206","0","-208","0","21","0","24","0","?","0","35","16"
"-196","0","-230","0","-185","0","-169","0","-210","0","-193","0","-174","0","-212","0","-177","0","-190","0","-216","0","-212","0","-212","0","-205","0","21","0","24","0","?","0","36","0"
"-200","0","-236","0","-188","0","-169","0","-217","0","-201","0","-175","0","-224","0","-172","0","-190","0","-205","0","-220","0","-213","0","-210","0","21","0","24","0","?","0","37","24"
"-193","0","-215","0","-188","0","-169","0","-213","0","-198","0","-180","0","-212","0","-177","0","-174","0","-178","0","-213","0","-210","0","-212","0","22","0","24","0","?","0","38","16"
"-204","0","-210","0","-185","0","-169","0","-202","0","-200","0","-181","0","-203","0","-167","0","-165","0","-188","0","-210","0","-215","0","-207","0","22","0","24","0","?","0","39","8"
"-208","0","-220","0","-186","0","-169","0","-190","0","-193","0","-188","0","-205","0","-168","0","-167","0","-198","0","-205","0","-216","0","-191","0","21","0","24","0","?","0","40","0"
"-180","0","-210","0","-189","0","-169","0","-180","0","-169","0","-186","0","-200","0","-179","0","-164","0","-175","0","-201","0","-207","0","-179","0","21","0","24","0","?","0","41","8"
"-173","0","-203","0","-186","0","-169","0","-184","0","-169","0","-178","0","-195","0","-169","0","-149","0","-175","0","-200","0","-203","0","-185","0","22","0","24","0","?","0","42","8"
"-204","0","-218","0","-188","0","-169","0","-205","0","-200","0","-184","0","-204","0","-175","0","-160","0","-210","0","-205","0","-210","0","-201","0","22","0","24","0","?","0","43","16"
"-220","0","-233","0","-189","0","-169","0","-230","0","-224","0","-183","0","-219","0","-176","0","-187","0","-221","0","-224","0","-218","0","-211","0","22","0","24","0","?","0","44","16"
