F3 Quality,FC6 Quality,P7 Quality,T8 Quality,F7 Quality,F8 Quality,T7 Quality,P8 Quality,AF4 Quality,F4 Quality,AF3 Quality,O2 Quality,O1 Quality,FC5 Quality,X Quality,Y Quality,Z Quality,Unknown Quality
1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1056,0,0,0,0,0,0,0,0,0,0,0,0,7616,0,0,0,8
1056,0,0,0,0,0,0,0,0,0,616,0,0,7616,0,0,0,8
1056,0,0,0,968,0,0,0,0,0,616,0,0,7616,0,0,0,8
1056,0,0,0,968,0,6200,0,0,0,616,0,0,7616,0,0,0,8
1056,0,848,0,968,0,6200,0,0,0,616,0,0,7616,0,0,0,8
1056,0,848,0,968,0,6200,0,0,0,616,0,7104,7616,0,0,0,8
1056,0,848,0,968,0,6200,0,0,0,616,432,7104,7616,0,0,0,8
1056,0,848,0,968,0,6200,1056,0,0,616,432,7104,7616,0,0,0,8
1056,0,848,424,968,0,6200,1056,0,0,616,432,7104,7616,0,0,0,8
1056,0,848,424,968,768,6200,1056,0,0,616,432,7104,7616,0,0,0,8
1056,0,848,424,968,768,6200,1056,0,0,616,432,7104,7616,0,0,0,8
1056,784,848,424,968,768,6200,1056,0,0,616,432,7104,7616,0,0,0,8
1056,784,848,424,968,768,6200,1056,0,3608,616,432,7104,7616,0,0,0,8
1056,784,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,8
1056,784,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,8
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,8
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,3592
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,792
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,24
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,792
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,3600
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,776
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,24
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,776
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,3600
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,776
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,8
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,768
1056,792,848,424,968,776,6200,1056,0,3608,616,432,7104,7616,0,0,0,3584
