F3 Quality,FC6 Quality,P7 Quality,T8 Quality,F7 Quality,F8 Quality,T7 Quality,P8 Quality,AF4 Quality,F4 Quality,AF3 Quality,O2 Quality,O1 Quality,FC5 Quality,X Quality,Y Quality,Z Quality,Unknown Quality
688,1040,5552,24,2624,2680,16,6920,8,7752,1456,6728,7944,1560,0,0,0,7728
688,1040,5552,24,2624,2672,16,6920,8,7752,1456,6728,7944,1560,0,0,0,7728
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,7728
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,16
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,16
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,16
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,24
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,24
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,16
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,24
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,16
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,24
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,16
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,24
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,8
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,0
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,24
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,16
688,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,24
