T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-253.0,-100.5,-283.0,-237.25,-297.75
28.75,44.5,78.75,28.25,29.0
-288.25,-176.5,-298.75,-270.5,-339.5
40.75,40.25,74.25,45.25,40.5
-275.0,-128.0,-303.75,-255.0,-325.0
17.75,7.0,7.75,16.75,13.5
-237.75,-61.5,-214.25,-220.5,-280.5
-10.75,-55.75,-5.0,-12.0,-12.5
-234.5,-129.75,-239.5,-212.5,-273.75
4.25,-23.5,10.0,9.25,8.75
-260.0,-132.25,-282.0,-235.0,-299.75
44.75,62.5,107.5,49.75,56.5
-272.0,-161.5,-283.75,-253.25,-309.5
59.0,22.75,82.5,62.75,71.25
-248.25,-112.0,-247.5,-228.0,-283.75
22.0,12.0,41.25,27.25,30.25
-222.75,-18.25,-174.5,-194.0,-253.5
-6.25,-27.5,10.0,1.75,1.5
-233.5,-123.75,-244.25,-204.0,-267.5
17.5,-15.25,48.5,27.75,26.0
-268.25,-140.0,-276.5,-244.5,-308.75
49.0,97.25,111.5,55.5,59.0
-281.0,-143.75,-301.5,-261.0,-321.0
34.5,19.0,35.75,36.25,43.0
-254.0,-120.25,-250.25,-235.25,-292.0
-0.75,-31.5,14.5,1.5,3.25
-228.5,-30.5,-197.0,-203.75,-263.25
-7.0,-11.25,-2.0,-2.5,-3.0
-246.75,-104.5,-268.75,-220.0,-283.0
22.0,22.75,63.25,30.0,30.75
-283.5,-164.0,-291.75,-260.5,-327.0
42.25,72.25,96.75,51.75,53.25
-281.75,-136.25,-301.25,-257.0,-317.75
22.5,20.0,28.25,31.25,33.0
-246.25,-68.25,-212.0,-219.0,-276.25
-4.5,-25.75,14.75,3.0,4.0
-218.75,-47.0,-203.5,-189.0,-251.25
15.5,18.5,25.0,22.25,24.75
-231.5,-74.25,-253.0,-207.25,-269.25
57.75,96.25,118.5,66.5,65.25
-267.5,-134.75,-269.25,-246.25,-310.0
56.75,69.75,95.25,65.25,69.75
-260.5,-95.25,-270.25,-232.75,-294.0
26.5,41.0,42.0,35.0,35.75
-220.5,-4.75,-171.75,-192.5,-253.0
5.25,-4.25,31.75,14.25,10.0
-218.0,-93.75,-207.5,-188.0,-251.5
25.25,17.0,59.0,36.0,38.0
-243.75,-97.0,-237.5,-215.25,-280.5
64.75,102.0,153.0,74.5,75.0
-263.25,-128.0,-253.0,-239.0,-302.75
57.5,40.5,92.5,66.25,68.0
-250.25,-111.0,-236.0,-227.0,-286.5
12.0,0.0,50.75,21.0,17.75
-222.0,-24.5,-150.5,-188.5,-258.25
-6.25,-38.5,29.0,3.0,-5.75
