T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-253.0,-100.5,-283.0,-237.25,-297.75
18.75,12.75,53.5,27.5,13.25
-264.0,-198.25,-298.0,-252.0,-299.5
36.75,99.25,121.75,48.5,46.5
-237.5,-105.5,-255.0,-215.25,-269.75
-13.25,-49.75,27.0,-1.5,-13.0
-206.25,-51.5,-241.5,-197.5,-236.0
-47.5,-64.25,-29.25,-25.0,-50.0
-192.0,0.25,-175.25,-180.25,-214.5
-31.25,-73.0,-13.5,-5.75,-32.75
-178.5,34.5,-137.25,-174.0,-212.0
-15.5,1.75,7.5,16.5,-5.25
-203.0,-81.75,-186.0,-195.75,-237.25
10.25,11.25,42.5,35.0,18.75
-255.0,-171.25,-252.25,-238.75,-302.5
-11.0,132.5,24.75,-2.0,12.25
-258.75,-234.5,-247.5,-232.75,-316.25
2.5,131.75,64.5,22.5,30.5
-199.75,-93.5,-204.25,-184.5,-244.75
-27.75,42.0,-0.25,-6.25,-12.75
-180.0,-82.0,-143.25,-154.25,-216.75
-64.25,-43.75,-71.25,-62.75,-48.25
-218.0,-35.5,-143.5,-183.0,-254.5
-74.75,-30.0,-87.5,-65.5,-57.0
-234.0,-147.75,-186.0,-213.5,-270.75
15.5,130.0,35.75,37.5,39.0
-247.0,-141.75,-230.75,-233.0,-293.0
71.0,201.25,149.0,97.25,103.0
-268.25,-181.0,-240.5,-255.0,-320.0
-0.25,107.0,39.5,15.25,38.25
-198.75,-22.75,-132.75,-174.25,-251.75
-70.0,-40.25,-86.25,-62.75,-42.0
-103.5,-2.75,0.0,-67.25,-144.0
-90.5,-110.75,-97.75,-82.75,-62.5
-61.0,42.75,85.0,-32.75,-105.25
-95.75,-43.75,-94.75,-83.0,-59.75
-86.75,100.0,59.0,-67.5,-144.5
-90.25,2.25,-121.0,-72.75,-44.5
-167.0,-21.25,-84.5,-154.75,-237.75
-45.25,-20.75,-78.25,-28.0,12.25
-159.25,-10.0,-52.5,-137.5,-231.75
-23.5,-107.25,5.25,-9.5,37.25
-136.25,30.25,-24.5,-119.75,-209.5
-62.0,-80.25,-43.75,-46.75,-9.0
-121.5,101.0,-4.5,-96.75,-187.0
-124.75,-102.75,-159.25,-129.0,-85.75
-95.25,88.5,-3.0,-60.75,-150.75
-129.75,-147.0,-148.0,-119.0,-78.25
-72.5,195.75,84.75,-51.0,-126.25
-99.75,-210.0,-108.75,-89.0,-60.0
-107.25,114.75,29.75,-83.25,-160.25
-98.5,-154.0,-103.75,-91.5,-58.0
-169.75,104.0,-59.5,-163.75,-235.25
-86.5,-104.5,-90.25,-73.5,-37.5
-179.0,15.0,-81.5,-153.25,-222.0
-63.0,-35.25,-36.75,-51.5,-14.25
-103.25,132.75,-12.5,-85.25,-153.75
-97.0,-145.75,-105.25,-87.75,-57.75
-61.25,95.75,38.75,-30.25,-106.75
-137.75,-254.75,-139.25,-141.0,-107.75
-56.25,122.0,137.25,-32.25,-90.0
-124.5,-158.0,-211.25,-107.5,-87.25
-22.5,199.5,227.0,5.0,-68.75
-80.0,-79.75,-168.75,-70.25,-28.75
-80.75,186.25,109.5,-49.75,-137.75
-47.75,-119.0,-142.75,-45.25,-10.25
-124.5,67.0,48.75,-86.25,-172.25
-20.5,-123.0,-63.75,1.0,31.0
-142.5,76.75,98.75,-136.75,-196.0
-122.75,-218.5,-258.0,-103.0,-70.0
-27.5,289.75,245.5,-9.25,-85.75
-128.5,-247.5,-248.0,-116.75,-80.0
