F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-93,-70,-22,-205,-40,-172,-42,-148,-122,-12,-161,-202
-376,-357,-380,-499,-346,-305,-339,-250,-377,-397,-283,-349
-239,-164,-292,-96,-138,-217,-230,-195,-195,-346,-176,-254
24,133,-160,237,166,-227,-2,-168,68,-163,-193,-255
-42,1,-162,-99,12,-274,-52,-230,-26,-182,-251,-306
-39,-46,-7,-199,-27,-143,5,-120,-37,-7,-121,-158
-396,-368,-344,-419,-341,-265,-347,-206,-381,-353,-249,-293
-133,-39,-216,-122,-50,-170,-161,-156,-82,-263,-141,-196
206,297,-52,139,239,-179,146,-128,283,-37,-150,-203
-30,23,-161,-30,-20,-291,-38,-241,11,-172,-263,-322
21,95,-34,72,90,-163,28,-142,27,-61,-113,-172
-322,-242,-360,-326,-230,-283,-319,-222,-304,-388,-243,-311
-316,-252,-275,-352,-229,-222,-276,-210,-271,-316,-190,-259
-54,-26,-48,-86,-7,-196,11,-157,-46,-18,-159,-224
-65,-177,-182,-39,-175,-302,-37,-251,-148,-190,-275,-337
145,28,-87,262,41,-157,131,-145,78,-136,-132,-179
-275,-220,-377,-205,-193,-273,-291,-217,-234,-416,-256,-308
-329,-264,-280,-388,-244,-254,-302,-238,-294,-321,-236,-288
-6,14,-12,-79,23,-194,57,-166,-17,15,-172,-221
-120,-57,-220,-83,-56,-298,-71,-244,-83,-221,-271,-338
69,140,-155,173,143,-171,68,-154,156,-203,-130,-193
-204,-143,-349,-137,-124,-279,-221,-226,-142,-387,-252,-313
-274,-223,-225,-309,-196,-267,-239,-238,-275,-272,-237,-300
-3,26,37,-90,36,-182,65,-145,-14,40,-141,-203
-233,-187,-276,-220,-193,-318,-170,-270,-215,-295,-292,-369
-55,64,-212,52,69,-198,-23,-184,-9,-253,-165,-223
-114,-1,-283,-13,20,-260,-128,-189,-56,-310,-223,-263
-172,-129,-183,-189,-112,-261,-144,-228,-141,-234,-223,-284
11,40,43,-38,44,-176,102,-152,4,62,-140,-203
-269,-224,-298,-265,-226,-306,-206,-250,-278,-307,-278,-339
-26,54,-195,-54,59,-150,-43,-147,2,-276,-103,-163
90,191,-163,76,214,-181,33,-140,140,-193,-146,-201
-32,27,-107,1,35,-227,-7,-207,-1,-136,-213,-275
13,42,73,18,57,-137,105,-127,14,67,-101,-177
-338,-292,-318,-346,-268,-294,-285,-228,-339,-341,-259,-326
-58,1,-228,-42,-37,-185,-73,-157,-1,-286,-151,-183
181,267,-129,205,213,-199,151,-154,270,-140,-159,-211
-42,44,-134,11,53,-258,-10,-234,-6,-146,-222,-313
-4,19,35,-10,34,-134,77,-117,-29,53,-98,-162
