F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-171.0,-114.5,-213.5,-140.75,-89.5,-230.25,-153.25,-190.25,-156.5,-229.5,-203.25,-265.0
12.75,17.75,-35.0,26.5,13.0,-25.5,-2.5,-20.5,24.0,-42.5,-22.5,-26.0
-86.75,-36.75,-120.25,-65.75,-9.75,-189.75,-67.25,-157.75,-71.5,-132.0,-162.75,-217.25
-26.5,-33.25,-48.0,-54.25,-37.75,-37.5,-31.75,-23.25,-22.5,-44.25,-40.75,-35.75
-126.0,-79.75,-134.25,-155.5,-63.75,-175.5,-107.0,-154.75,-109.0,-157.0,-149.75,-202.5
35.5,40.75,-20.5,5.25,19.0,-13.75,17.75,2.25,54.75,-8.0,-15.5,-10.0
-123.75,-62.5,-172.75,-113.25,-62.0,-212.5,-117.75,-185.0,-97.0,-198.25,-185.25,-243.5
139.75,156.5,57.0,128.0,126.75,11.75,111.5,18.25,156.75,65.0,18.5,20.25
-171.0,-113.25,-208.75,-164.25,-107.0,-240.75,-157.25,-201.5,-152.5,-229.5,-210.75,-272.25
9.25,19.25,1.25,5.25,9.75,1.0,6.0,-2.25,18.25,-4.75,8.5,6.25
-177.0,-125.5,-180.5,-178.25,-103.75,-217.0,-145.0,-180.5,-166.75,-191.0,-184.75,-247.75
-12.25,-48.75,-35.75,-22.5,-56.5,-33.75,-10.25,-29.5,-25.5,-37.0,-32.0,-35.0
-60.25,-58.0,-112.25,-31.25,-36.0,-185.5,-32.5,-161.25,-71.25,-128.0,-157.0,-214.75
-2.0,-40.75,-61.25,14.25,-47.5,-46.5,-14.0,-31.25,-16.25,-62.0,-48.5,-47.25
-129.0,-117.5,-170.25,-106.75,-95.25,-200.0,-110.75,-181.5,-133.25,-203.75,-176.25,-230.75
12.75,7.0,-18.75,4.25,2.0,-19.5,9.5,-10.0,16.5,-10.75,-22.75,-18.25
-195.25,-138.75,-203.5,-193.0,-119.5,-235.25,-161.25,-206.25,-173.5,-225.0,-211.0,-270.5
98.75,97.0,36.75,98.75,86.0,6.0,99.25,5.75,114.0,42.5,8.75,10.5
-164.0,-108.5,-220.75,-130.25,-89.5,-241.5,-141.0,-203.25,-135.5,-241.5,-215.0,-276.75
31.75,37.75,-16.5,41.25,31.25,-12.25,25.25,-12.25,49.5,-29.25,-7.5,-9.25
-134.75,-87.75,-156.5,-132.0,-66.5,-212.5,-107.0,-178.5,-118.25,-176.25,-182.5,-243.0
-43.75,-44.0,-46.75,-57.0,-52.75,-49.0,-34.25,-41.25,-43.25,-52.25,-48.0,-53.25
-97.5,-36.0,-122.25,-84.75,-18.25,-192.25,-57.5,-168.0,-85.0,-142.75,-160.75,-220.5
-3.75,11.5,-61.25,17.0,1.25,-47.25,-6.5,-29.0,11.5,-61.75,-44.5,-44.0
-139.75,-74.75,-177.25,-109.5,-55.25,-212.0,-109.75,-188.75,-116.75,-211.25,-181.25,-240.75
57.25,68.25,18.5,62.5,60.5,-11.75,61.5,0.5,66.25,27.5,-6.5,-2.5
-193.25,-146.75,-198.75,-188.75,-129.0,-239.0,-155.5,-205.25,-184.0,-224.75,-209.5,-269.75
79.25,82.0,40.5,52.25,70.25,15.75,82.75,11.0,80.75,36.0,23.5,22.5
-127.75,-66.75,-193.75,-122.5,-47.5,-219.0,-111.25,-183.25,-113.75,-214.5,-190.25,-249.0
68.5,78.75,3.0,62.0,68.0,3.0,55.5,-2.75,79.5,-13.5,5.25,4.5
