T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-471.5,-278.0,-305.0,-296.75,-174.75
-29.25,-22.0,-27.25,-23.25,-1.5
-365.0,-176.25,-199.5,-196.25,-170.5
-47.25,-27.0,-20.0,-36.5,-3.25
-419.5,-252.75,-253.0,-250.5,-170.75
14.75,20.75,28.25,13.25,-0.75
-415.25,-233.0,-259.25,-245.75,-173.0
98.0,106.0,107.25,105.75,1.75
-424.0,-246.75,-267.0,-253.75,-172.25
51.75,43.25,47.5,53.75,2.5
-371.0,-204.25,-195.25,-195.0,-170.0
10.5,13.5,39.0,35.5,0.0
-344.5,-153.0,-157.75,-152.75,-168.75
-3.0,-12.5,16.0,0.25,-1.5
-389.0,-235.5,-234.0,-217.75,-171.25
76.25,78.0,96.5,89.5,0.0
-404.75,-228.5,-230.75,-222.0,-173.75
62.5,109.5,108.25,101.75,0.5
-458.5,-223.5,-255.75,-256.75,-173.75
6.75,40.75,36.75,33.5,-0.5
-373.0,-164.0,-175.0,-173.25,-171.25
-21.0,10.0,24.5,14.25,-2.75
-391.0,-201.0,-197.75,-195.5,-171.25
-33.0,-9.5,4.0,-11.25,-3.25
-435.0,-244.0,-257.5,-244.75,-173.5
61.0,79.25,92.25,86.75,-0.5
-457.5,-266.25,-275.0,-259.75,-174.25
5.75,38.0,47.5,51.0,0.0
-468.0,-255.75,-264.5,-259.5,-174.75
-21.5,8.0,18.5,20.25,-2.5
-367.25,-155.25,-164.75,-161.5,-172.25
-25.5,-4.5,14.0,4.75,-3.25
-417.5,-230.5,-230.75,-215.75,-171.5
-21.5,7.75,23.75,18.25,-2.75
-436.5,-253.25,-252.5,-234.25,-174.0
58.0,79.5,99.0,99.5,-1.25
-479.5,-275.75,-285.0,-274.75,-176.75
11.0,16.75,34.75,35.0,-1.25
-409.0,-225.5,-225.25,-225.75,-174.5
9.25,30.5,34.5,31.25,-3.75
-318.5,-140.0,-148.25,-141.5,-171.5
-6.25,-5.5,14.25,10.75,-3.75
-394.75,-224.25,-240.75,-207.5,-173.75
55.75,61.0,74.75,81.75,-3.0
-403.0,-222.0,-230.25,-211.5,-175.75
94.75,126.0,109.75,115.25,-1.25
-434.75,-228.25,-263.75,-252.25,-176.5
40.75,59.5,47.5,52.0,-2.5
-344.0,-137.0,-173.0,-168.25,-173.25
18.75,58.5,48.75,40.25,-2.75
-352.0,-137.25,-153.75,-158.25,-171.0
11.5,27.75,30.25,11.5,-2.0
-376.5,-203.75,-224.25,-213.25,-172.25
109.75,126.75,132.75,120.75,0.25
-371.75,-199.0,-215.5,-205.75,-173.0
74.25,102.25,104.75,103.25,3.0
-433.75,-213.75,-229.25,-225.75,-171.0
47.75,61.5,65.0,69.75,1.0
-308.75,-104.75,-128.75,-126.75,-169.0
21.5,65.75,59.25,40.25,-1.0
-347.5,-159.75,-175.0,-173.75,-169.5
28.5,56.5,59.75,39.5,-0.25
-393.25,-170.25,-198.25,-199.75,-171.5
126.0,167.75,162.0,143.75,0.75
-408.0,-208.5,-229.75,-221.75,-174.5
47.75,73.25,70.25,77.75,1.25
-391.0,-215.0,-225.0,-207.25,-172.25
46.25,37.75,44.75,62.75,-0.75
-312.0,-109.75,-134.75,-122.75,-170.0
-2.5,36.0,38.25,28.5,-3.0
-397.5,-194.0,-207.5,-195.25,-172.75
21.0,68.0,67.0,54.75,-2.75
-408.75,-208.25,-233.25,-221.25,-174.5
105.0,120.5,114.75,116.75,-1.25
-428.25,-253.5,-276.0,-258.75,-176.25
19.25,27.0,27.25,46.75,-1.0
-401.5,-197.0,-210.75,-192.0,-173.0
-10.5,29.75,25.25,31.25,-2.75
-366.75,-143.0,-173.25,-159.5,-170.0
-20.25,14.25,9.0,-1.75,-2.0
-393.0,-218.0,-238.75,-218.75,-172.0
65.75,79.0,87.75,90.25,-0.75
-430.5,-236.5,-244.75,-226.25,-174.5
49.75,81.5,90.75,93.75,-0.5
-452.75,-257.0,-275.25,-269.0,-175.25
20.0,27.0,21.75,23.75,-2.5
-338.75,-163.75,-183.75,-170.25,-172.25
14.75,4.25,8.75,23.75,-2.0
-363.75,-194.0,-208.0,-183.5,-169.25
-18.5,1.5,5.75,6.75,-0.5
-429.0,-240.75,-258.25,-232.75,-172.75
78.75,106.75,101.75,100.5,-1.5
-412.75,-230.5,-252.75,-235.5,-176.75
83.25,53.5,69.0,74.75,-1.25
-383.75,-236.75,-232.5,-230.0,-175.0
54.0,34.5,57.75,62.0,-2.25
-308.5,-143.5,-140.75,-125.0,-172.25
5.25,21.0,32.75,31.5,-3.5
-371.75,-187.0,-199.25,-185.75,-171.5
37.25,41.0,59.25,47.0,-3.25
-397.25,-224.75,-227.0,-216.75,-175.25
110.0,116.75,127.25,122.5,-2.5
-400.25,-250.75,-261.5,-251.5,-178.5
44.0,37.25,40.5,42.25,-3.75
-405.25,-203.75,-218.0,-216.75,-175.5
19.25,27.25,37.25,34.75,-4.5
-342.5,-150.75,-158.75,-158.0,-173.25
-18.0,-11.25,12.75,-7.0,-5.5
-370.0,-231.25,-220.75,-218.75,-175.75
71.25,66.25,96.25,71.5,-6.25
-413.0,-224.5,-217.5,-215.5,-178.25
106.5,110.25,128.5,125.25,-3.5
-415.75,-245.5,-250.0,-242.75,-178.0
21.25,30.25,46.75,56.25,-3.25
-353.75,-168.5,-170.5,-154.5,-174.0
23.0,30.75,45.0,46.0,-5.25
-363.5,-168.25,-174.75,-172.0,-174.0
-35.75,-10.5,6.0,-11.75,-6.25
-426.25,-248.0,-257.0,-248.25,-177.0
53.75,64.75,80.0,64.5,-4.5
-445.75,-274.25,-274.5,-267.75,-177.5
56.25,34.25,49.0,48.75,-2.75
-431.25,-293.5,-294.0,-290.0,-177.75
-3.0,-26.5,-4.0,0.75,-5.75
-361.75,-192.75,-191.25,-183.25,-177.0
-9.75,-23.75,-3.0,-9.0,-8.25
-398.5,-227.0,-226.0,-212.5,-175.5
-7.5,-0.25,19.0,14.0,-5.75
-394.5,-239.5,-244.0,-222.25,-176.0
106.75,105.0,125.0,124.5,-2.0
-423.0,-252.5,-245.75,-237.0,-176.75
55.75,37.5,61.5,64.25,-2.0
-386.0,-231.25,-237.25,-223.5,-176.0
34.75,13.75,25.0,34.75,-4.5
-321.75,-162.25,-164.5,-156.75,-174.5
6.0,-14.5,8.5,-1.5,-6.25
-373.25,-231.25,-222.0,-214.25,-174.75
58.25,54.75,74.75,55.25,-4.0
-372.75,-203.75,-227.75,-215.75,-175.5
122.75,124.0,120.5,120.75,-1.25
-425.5,-255.0,-257.5,-249.75,-176.25
53.25,30.75,48.5,54.25,-2.5
-344.75,-181.75,-180.25,-178.75,-174.25
33.25,45.75,64.25,50.75,-3.25
-316.5,-119.75,-139.75,-140.75,-171.0
25.25,32.5,34.0,18.75,-3.0
-359.5,-207.75,-223.0,-204.25,-172.5
111.0,104.75,102.25,99.75,-1.25
-382.25,-215.25,-229.0,-224.25,-175.75
89.5,94.75,113.25,97.25,-1.0
-424.0,-237.5,-238.75,-248.0,-175.75
35.5,39.0,52.5,44.5,-3.25
-337.0,-154.0,-154.75,-156.75,-173.0
18.75,28.25,44.75,37.0,-3.25
-353.75,-169.0,-174.5,-167.5,-171.25
17.0,26.0,38.75,25.75,-2.25
-382.0,-209.25,-226.75,-208.75,-172.0
98.0,120.5,125.0,118.0,0.75
-414.0,-234.0,-239.0,-235.25,-173.25
71.5,67.25,85.5,78.25,1.25
-402.75,-218.75,-221.5,-224.0,-173.75
34.0,49.25,54.25,54.25,-2.0
-309.5,-118.0,-137.25,-134.75,-173.0
21.5,35.0,39.25,22.75,-5.0
-367.75,-187.25,-196.5,-195.75,-172.75
32.25,44.75,59.5,42.5,-4.0
-399.75,-225.5,-235.75,-219.0,-176.0
87.75,111.0,114.25,114.5,-2.0
-466.5,-247.5,-265.75,-263.25,-177.25
5.75,48.25,51.75,40.5,-2.25
-403.25,-186.0,-200.5,-214.25,-173.25
1.75,49.0,46.0,30.25,-2.75
-335.0,-131.25,-155.75,-152.25,-171.75
11.5,7.5,7.5,1.75,-3.5
-388.75,-231.25,-248.0,-226.5,-172.75
43.25,41.0,59.25,62.75,-1.75
-418.25,-269.0,-263.5,-236.0,-174.75
77.25,56.75,73.5,84.5,-1.25
-445.75,-290.0,-290.75,-271.0,-175.75
29.0,0.5,18.5,38.25,-2.5
-347.5,-185.0,-195.0,-179.25,-175.25
2.75,11.0,17.75,23.75,-6.25
-386.5,-191.25,-200.5,-182.75,-174.25
-33.5,-18.25,-7.5,-14.25,-5.0
-419.25,-241.0,-255.5,-239.0,-174.5
73.75,1.25,29.75,27.75,0.0
-324.5,-213.25,-222.5,-202.5,-172.75
227.5,103.25,128.0,121.0,1.25
-249.0,-188.5,-197.75,-178.25,-170.0
251.25,154.0,164.0,165.75,4.0
-280.5,-204.25,-215.5,-204.0,-169.5
194.5,85.75,89.25,96.25,4.5
-225.0,-154.25,-164.25,-160.25,-167.75
188.5,89.0,96.25,90.0,2.75
-166.0,-84.25,-101.0,-98.25,-167.0
151.75,67.5,79.5,68.0,1.75
-246.5,-158.25,-163.25,-148.0,-167.75
205.75,123.5,134.75,133.5,4.25
-247.5,-162.25,-173.75,-155.5,-167.25
239.0,167.5,176.0,172.75,6.5
-274.75,-192.25,-196.0,-188.0,-167.25
196.5,93.5,109.5,117.0,5.25
-188.25,-105.0,-109.5,-104.5,-165.75
199.25,88.25,100.0,97.75,5.25
-169.75,-105.25,-118.75,-109.5,-165.25
161.75,67.25,73.75,56.0,2.75
-252.5,-174.5,-187.5,-180.0,-167.75
215.0,144.5,150.75,137.5,4.5
-281.25,-180.75,-195.25,-193.0,-168.0
197.0,122.5,131.5,123.25,6.0
-293.75,-199.25,-203.5,-202.5,-168.0
170.75,79.0,90.5,89.5,4.5
-182.25,-95.0,-106.75,-107.0,-165.5
160.75,71.5,79.75,70.0,4.5
-213.75,-137.0,-149.25,-138.5,-165.5
152.0,68.25,77.25,71.5,3.0
-280.5,-188.5,-200.0,-177.25,-168.0
216.25,145.25,152.5,152.25,4.25
-300.25,-213.0,-223.75,-214.5,-169.0
180.25,88.25,96.5,96.0,6.0
-274.0,-174.25,-188.25,-188.25,-167.25
143.25,82.25,82.0,77.75,4.0
-213.75,-88.0,-106.75,-106.5,-164.5
107.75,51.75,56.0,43.0,3.25
-276.25,-180.0,-193.0,-183.75,-167.25
155.25,73.5,83.0,73.0,3.75
-302.0,-216.25,-233.25,-213.5,-169.0
176.5,106.25,105.0,105.0,5.5
-348.5,-251.25,-271.75,-266.75,-168.0
121.5,42.75,38.5,37.25,4.5
-275.5,-172.25,-196.0,-195.25,-168.5
133.75,56.5,50.25,48.75,2.25
-221.75,-126.5,-155.0,-137.75,-165.5
