T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-471.5,-278.0,-305.0,-296.75,-174.75
-466.75,-279.75,-273.0,-287.0,-174.0
-326.0,-140.75,-159.75,-148.0,-170.5
-334.0,-139.5,-118.75,-117.25,-168.75
-328.5,-150.5,-134.25,-132.5,-173.75
-366.25,-123.25,-138.25,-139.75,-171.75
-468.0,-253.5,-253.5,-256.0,-176.75
-462.25,-217.75,-217.0,-208.5,-174.75
-443.0,-235.0,-216.75,-211.0,-174.75
-421.5,-196.25,-186.0,-175.25,-178.0
-309.25,-109.5,-113.75,-110.25,-175.25
-347.25,-161.0,-155.5,-129.75,-178.75
-303.25,-77.5,-125.5,-116.25,-175.75
-365.0,-176.0,-194.0,-201.75,-174.25
-359.5,-111.5,-124.5,-122.5,-168.0
-326.0,-94.0,-115.75,-133.5,-170.5
-282.0,-40.75,-67.75,-78.0,-173.75
-265.75,-72.0,-90.0,-60.0,-170.75
-387.75,-140.25,-166.25,-166.5,-177.25
-382.25,-170.0,-183.5,-145.25,-174.0
-413.25,-203.75,-229.75,-220.5,-174.0
-403.0,-175.5,-184.5,-175.25,-175.75
-349.0,-189.75,-199.25,-159.75,-171.25
-334.0,-123.75,-151.0,-135.0,-178.25
-254.5,-109.0,-83.0,-63.0,-174.5
-360.0,-183.75,-167.75,-169.75,-178.5
-361.25,-166.5,-177.5,-174.5,-179.25
-388.0,-242.5,-208.0,-225.75,-181.25
-309.25,-135.25,-121.5,-117.5,-181.5
-340.5,-137.5,-129.75,-126.0,-179.25
-392.0,-209.5,-194.5,-203.25,-182.0
-364.75,-219.25,-195.25,-182.5,-182.75
-402.0,-239.75,-225.0,-208.25,-181.75
-330.25,-193.75,-175.75,-159.25,-178.0
-367.25,-245.75,-213.5,-215.75,-181.0
-302.75,-131.0,-137.0,-129.0,-177.5
-283.25,-74.0,-75.5,-90.0,-174.25
-271.25,-110.5,-126.75,-124.5,-177.0
-301.5,-115.0,-102.25,-112.25,-176.25
-365.0,-183.25,-188.0,-183.0,-174.25
-331.25,-151.5,-136.0,-145.75,-172.5
-346.25,-152.25,-157.25,-173.0,-177.75
-378.75,-136.5,-151.5,-148.75,-179.25
-333.25,-82.25,-109.75,-122.0,-174.5
-375.0,-228.0,-204.25,-173.25,-176.5
-318.5,-184.5,-176.5,-141.0,-177.75
-452.75,-259.25,-263.0,-253.25,-179.5
-21.5,-85.25,-69.75,-57.25,-168.75
-30.5,-68.5,-75.0,-64.0,-163.25
-94.75,-90.75,-83.75,-80.0,-166.0
-35.75,-24.75,-20.0,-15.25,-160.75
29.5,-17.0,-18.75,-11.75,-160.0
-66.25,-36.25,-44.5,-55.5,-163.5
-11.5,-16.0,-16.25,-17.5,-161.0
-128.5,-120.25,-122.75,-105.75,-165.0
-93.75,-86.0,-91.75,-92.25,-161.25
-168.5,-128.25,-137.0,-140.75,-164.0
-172.0,-145.0,-166.75,-161.75,-162.5
-88.0,-70.0,-104.75,-89.0,-163.25
-75.25,-114.0,-133.25,-72.75,-166.25
-163.0,-85.5,-165.25,-156.25,-171.25
-125.5,29.5,-15.5,-113.5,-136.0
-156.25,-21.75,-68.5,-145.75,-170.25
-164.0,-89.5,-125.5,-154.0,-177.0
