F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-113.0,-125.0,-170.75,-107.75,-166.75,-163.0,-85.5,-191.5,-133.75,-165.25,-156.25,-171.25
-25.75,-30.5,13.0,-28.25,-31.5,7.0,-22.0,3.0,-30.0,-0.5,11.25,8.0
1.25,-5.75,-96.0,15.75,-45.0,-128.0,17.0,-162.75,-13.75,-57.0,-117.25,-132.75
-15.5,-14.0,-17.25,-9.75,-11.25,-10.25,-13.75,-7.25,-14.75,8.75,-9.5,-13.75
19.0,13.0,-78.5,35.75,-22.25,-115.25,43.25,-154.0,3.25,-24.25,-104.0,-122.25
-40.75,-39.0,-18.0,-43.75,-34.0,-12.25,-32.5,-1.75,-46.0,13.0,-11.25,-17.0
-60.5,-68.0,-115.5,-45.75,-103.5,-132.5,-28.25,-169.0,-81.0,-85.25,-122.25,-142.5
29.25,44.75,15.0,40.75,47.5,3.5,35.5,14.25,33.0,55.75,7.5,0.5
-80.0,-78.5,-164.0,-61.25,-116.25,-159.75,-57.25,-186.5,-96.0,-124.25,-153.25,-170.75
7.75,15.75,10.0,11.0,19.0,7.25,7.0,8.75,5.75,32.25,6.75,5.5
-112.25,-118.25,-176.25,-108.25,-153.5,-162.5,-91.75,-188.75,-135.5,-150.0,-158.0,-173.0
-71.25,-71.5,-31.25,-76.25,-67.0,-14.0,-67.0,-14.5,-79.75,-31.25,-14.25,-19.0
-48.25,-49.25,-134.5,-33.25,-84.75,-150.0,-22.5,-182.0,-66.0,-94.25,-139.75,-158.0
-111.75,-105.75,-83.25,-108.5,-99.25,-45.75,-99.75,-34.5,-113.0,-75.0,-47.25,-51.25
-99.75,-107.0,-151.25,-82.75,-138.0,-151.5,-65.25,-186.5,-113.75,-132.25,-143.0,-158.5
-126.5,-124.5,-83.75,-120.25,-112.0,-41.5,-111.75,-28.25,-123.75,-84.75,-45.75,-46.25
-153.0,-161.0,-196.25,-131.75,-188.0,-170.5,-118.25,-202.0,-169.25,-193.5,-167.5,-180.0
