F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-374.0,-240.5,-289.0,-281.75,-261.25,-500.75,-300.0,-337.25,-238.75,-332.25,-320.0,-176.25
36.25,87.75,47.25,96.75,88.75,106.5,101.75,52.5,87.5,105.5,100.5,4.25
-368.75,-272.75,-295.75,-300.75,-281.0,-518.75,-305.0,-330.25,-278.0,-325.0,-333.25,-178.0
36.25,-23.5,54.0,-1.5,-4.25,52.0,25.25,44.75,-21.75,52.0,46.25,4.0
-340.5,-255.25,-266.25,-283.25,-252.25,-456.75,-257.25,-286.0,-258.75,-276.75,-283.5,-175.5
7.5,14.25,14.25,19.75,24.0,56.25,45.0,9.25,15.75,45.75,51.0,1.75
-304.5,-113.5,-225.5,-155.0,-121.0,-373.5,-172.0,-235.75,-111.5,-197.75,-191.0,-173.0
21.0,28.5,19.0,36.0,36.25,47.5,31.25,17.5,30.75,38.0,43.0,2.5
-314.0,-170.0,-234.25,-205.0,-180.5,-419.75,-234.75,-259.5,-168.75,-257.5,-243.0,-172.25
52.5,68.0,43.75,68.75,80.25,100.5,73.75,71.75,68.0,109.75,101.75,4.75
-343.75,-225.5,-278.25,-253.5,-229.0,-461.0,-264.5,-294.0,-228.5,-266.0,-261.25,-174.75
72.25,126.5,73.0,140.0,129.25,127.0,125.0,100.0,126.0,147.25,144.0,6.0
-328.5,-198.75,-264.25,-230.25,-211.0,-474.5,-290.5,-281.75,-193.5,-289.0,-296.5,-176.25
57.25,61.5,66.25,84.75,68.5,82.5,42.5,64.0,76.25,71.0,79.0,3.5
-297.25,-148.75,-227.0,-192.75,-152.25,-395.25,-200.0,-228.75,-151.25,-208.5,-207.25,-174.75
30.0,26.5,33.5,25.0,42.5,66.75,49.5,36.75,24.75,74.25,74.75,1.0
-294.5,-141.75,-214.0,-161.25,-143.75,-409.0,-168.5,-227.75,-136.0,-196.75,-195.0,-174.25
32.25,31.5,27.75,56.25,39.0,13.0,54.5,32.75,39.5,49.25,40.0,1.0
-325.25,-189.5,-242.25,-207.75,-194.0,-464.75,-237.25,-273.25,-186.25,-268.25,-263.25,-175.25
54.0,82.5,52.25,102.5,97.0,98.5,114.0,80.75,88.5,130.0,123.5,3.5
-353.5,-238.25,-284.75,-281.5,-241.0,-492.5,-268.0,-301.0,-247.75,-280.5,-282.5,-177.5
