T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-190.75,-120.0,-94.0,-163.0,-211.0
33.75,47.5,65.25,31.25,35.5
-193.5,-133.25,-111.5,-172.5,-215.75
22.0,1.25,-10.75,11.0,19.75
-164.0,-61.25,-51.5,-140.5,-181.5
-14.5,-19.75,-31.5,-22.0,-19.25
-140.75,24.75,-6.75,-114.0,-154.0
-16.25,1.25,-51.5,-24.0,-21.5
-157.25,-25.75,-85.25,-133.75,-175.0
18.5,68.75,32.0,11.25,20.0
-193.5,-88.5,-105.75,-168.5,-214.75
34.5,101.75,47.75,34.0,37.5
-190.75,-35.0,-108.0,-164.25,-210.75
10.5,64.25,-23.75,5.5,5.0
-155.25,27.0,-23.5,-127.0,-173.25
-19.75,-10.5,-45.5,-28.5,-27.5
-141.75,-23.75,-42.0,-114.5,-156.5
-9.75,15.25,-41.75,-16.0,-11.75
-166.75,-38.75,-92.5,-144.0,-186.5
30.0,90.75,58.5,25.75,30.5
-192.75,-81.25,-102.75,-167.0,-213.0
38.0,53.5,23.0,34.5,43.0
-174.5,-50.25,-86.75,-148.0,-187.75
3.25,44.25,-15.25,2.5,8.25
-146.0,39.5,3.75,-110.5,-153.25
-17.75,-8.25,-35.75,-17.25,-19.25
-140.25,-20.0,-47.5,-106.75,-152.75
7.25,20.25,-10.25,3.25,4.5
-173.0,-72.5,-84.0,-147.75,-194.75
36.25,92.0,81.0,34.5,41.25
-194.25,-112.75,-101.75,-167.75,-212.75
31.75,11.5,9.25,27.25,31.5
-166.5,-69.5,-59.25,-140.75,-182.25
-5.0,-42.5,-22.75,-10.5,-7.5
-136.75,-39.25,4.0,-107.5,-150.5
-18.0,-63.5,-36.25,-19.75,-18.0
-150.5,-65.75,-58.25,-116.75,-161.75
17.25,34.0,32.5,16.75,18.25
-182.0,-84.25,-76.5,-152.5,-196.75
43.0,92.0,78.5,42.5,51.25
-184.0,-82.5,-95.0,-157.75,-201.25
27.75,50.5,12.0,25.0,32.75
-152.25,13.5,-8.0,-121.25,-160.0
-5.0,23.25,-5.75,-8.5,-3.5
-125.5,44.5,6.25,-95.25,-133.5
-3.0,28.0,-34.75,-8.75,-3.0
-155.0,-16.75,-84.5,-132.25,-170.25
25.5,84.25,45.25,18.75,32.0
-194.0,-81.5,-99.75,-168.75,-206.5
36.0,93.75,40.25,32.0,45.0
-178.5,-36.5,-101.5,-155.0,-194.25
19.75,64.0,-19.0,12.25,18.0
-142.5,35.5,-12.75,-117.25,-156.25
-10.75,-2.75,-37.5,-20.5,-13.75
-136.0,-6.75,-38.75,-108.0,-146.5
-4.75,37.0,-34.0,-11.0,-4.0
-169.75,-22.75,-93.25,-146.25,-185.75
34.5,114.75,62.5,30.25,39.0
