T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-190.75,-120.0,-94.0,-163.0,-211.0
48.75,60.0,31.75,33.5,49.25
-222.25,-84.5,-168.5,-191.25,-245.75
66.0,151.25,108.25,61.0,72.5
-227.5,-185.5,-195.75,-204.0,-256.5
64.75,195.0,151.5,62.75,74.0
-207.5,-111.25,-163.0,-170.75,-219.0
41.75,59.0,68.75,26.25,28.75
-176.5,-117.0,-118.75,-139.75,-179.5
8.0,-12.25,24.25,3.25,-0.25
-149.0,21.75,-40.75,-118.5,-149.75
18.5,46.0,41.25,14.75,12.75
-187.0,-43.25,-95.75,-164.75,-187.25
64.25,142.75,64.0,59.75,49.0
-238.75,-128.5,-191.25,-217.0,-238.75
108.0,125.25,146.75,117.25,113.0
-260.25,-203.75,-221.0,-246.25,-273.25
106.5,120.0,204.0,121.5,109.0
-257.5,-202.75,-223.0,-241.0,-267.25
68.75,160.25,142.75,75.0,65.5
-232.25,-95.75,-201.75,-202.25,-231.25
12.75,51.75,28.25,9.75,0.5
-192.5,-89.25,-165.25,-168.75,-194.25
-8.25,2.75,7.0,-9.5,-16.25
-190.25,-45.5,-113.25,-161.25,-194.0
16.0,64.5,48.0,18.0,5.75
-226.0,-212.75,-177.75,-201.75,-238.5
61.0,178.25,99.0,67.0,61.5
-255.0,-181.75,-252.75,-235.25,-275.25
87.0,239.0,196.75,93.5,98.75
-263.0,-253.75,-277.5,-235.25,-279.5
76.25,236.75,207.0,78.25,82.0
-242.25,-195.0,-273.5,-223.25,-258.0
34.25,132.0,112.75,45.25,39.75
-193.75,-202.25,-222.75,-173.25,-209.75
-11.5,64.5,62.0,-6.75,-14.25
-184.0,-60.75,-159.25,-158.25,-185.5
-5.25,61.75,75.5,-0.5,-16.25
-198.0,-101.75,-161.5,-175.75,-192.25
22.0,137.75,62.5,26.0,3.5
-243.25,-177.25,-267.0,-220.0,-244.5
65.75,140.75,121.0,62.5,53.0
-282.75,-283.25,-317.75,-254.5,-285.5
78.25,231.5,214.5,86.75,74.5
-280.25,-267.25,-320.25,-264.25,-294.5
58.75,204.5,185.5,74.0,62.25
-249.5,-196.0,-286.75,-234.75,-263.0
37.5,187.0,105.25,47.25,40.75
-217.0,-214.5,-218.0,-186.5,-227.5
17.5,135.25,77.75,22.75,14.5
-200.5,-119.0,-131.25,-182.5,-208.25
39.5,137.5,94.25,51.25,37.25
-248.75,-291.75,-217.75,-241.5,-262.25
85.25,234.25,155.25,107.25,79.5
-277.25,-320.0,-270.0,-270.0,-286.75
108.75,377.5,199.25,130.0,102.0
-281.0,-386.75,-270.75,-271.25,-292.25
100.75,381.25,197.25,107.75,84.25
-266.75,-333.5,-238.5,-240.25,-260.75
79.5,259.25,134.5,79.75,52.0
-235.5,-336.5,-211.25,-206.75,-224.5
64.5,187.5,119.0,66.75,33.5
-218.0,-222.75,-150.75,-198.75,-207.5
68.5,248.5,144.25,76.25,35.75
-240.25,-224.5,-167.5,-215.0,-231.5
101.0,304.5,143.75,103.5,69.25
-279.75,-274.25,-268.25,-258.75,-272.0
134.0,274.0,202.75,141.25,112.0
-291.75,-342.5,-284.25,-266.0,-297.0
121.5,258.75,227.5,119.5,104.0
-282.5,-345.5,-261.0,-251.25,-290.5
90.5,270.5,143.75,74.25,69.75
