T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-190.75,-120.0,-94.0,-163.0,-211.0
-142.0,-60.0,-62.25,-129.5,-161.75
-173.5,-24.5,-136.75,-157.75,-196.5
-156.25,66.75,-60.25,-130.25,-173.25
-161.5,-34.25,-87.5,-143.0,-184.0
-162.75,9.5,-44.25,-141.25,-182.5
-142.75,83.75,-11.5,-108.0,-145.0
-165.75,-52.25,-94.25,-144.5,-190.25
-134.75,-58.0,-50.0,-113.5,-150.75
-168.5,-129.25,-94.5,-136.5,-179.75
-141.0,9.5,-16.5,-115.25,-150.0
-130.5,67.75,0.5,-103.75,-137.0
-168.5,2.75,-54.5,-150.0,-174.5
-122.75,99.5,-31.75,-105.0,-138.25
-174.5,14.25,-127.25,-157.25,-189.75
-130.75,-3.25,-44.5,-99.75,-125.75
-152.25,-78.5,-74.25,-129.0,-160.25
-153.75,-83.75,-17.0,-124.75,-164.25
-151.0,-82.75,-19.0,-119.5,-158.25
-188.75,-42.5,-80.25,-166.0,-201.75
-163.5,64.5,-59.0,-127.25,-165.75
-219.5,-44.0,-173.5,-192.5,-230.75
-179.75,-37.5,-137.0,-159.0,-193.75
-200.75,-86.5,-158.25,-178.25,-210.5
-198.5,-42.75,-106.25,-170.75,-210.25
-174.25,19.0,-65.25,-143.25,-188.25
-210.0,-148.25,-129.75,-183.75,-232.75
-165.0,-34.5,-78.75,-134.75,-177.0
-194.0,-3.5,-153.75,-168.25,-213.75
-168.0,57.25,-56.0,-141.75,-176.5
-176.0,-14.75,-80.75,-141.75,-180.75
-186.75,-17.0,-70.5,-157.0,-197.5
-166.0,41.75,-66.5,-145.0,-176.0
-208.0,-63.0,-160.75,-178.0,-218.25
-159.5,-70.25,-110.0,-128.0,-170.0
-205.25,-137.75,-160.75,-180.0,-224.0
-195.5,3.75,-97.25,-165.0,-199.75
-189.25,1.0,-83.75,-158.75,-201.75
-203.25,-40.0,-86.0,-176.25,-208.5
-176.0,36.0,-99.0,-149.75,-188.75
-221.25,-39.5,-204.5,-194.0,-241.0
-177.5,-36.5,-146.0,-157.5,-191.5
-217.0,-142.5,-196.75,-192.0,-232.5
-204.5,-51.75,-103.25,-167.75,-211.0
-202.0,-35.75,-105.75,-177.5,-220.0
-221.5,-62.75,-134.75,-190.25,-232.25
-190.75,8.5,-101.25,-160.75,-200.75
-212.0,-9.0,-181.5,-187.5,-222.25
-179.5,-27.5,-112.75,-139.25,-186.75
-199.5,-79.25,-140.25,-163.75,-213.0
-183.0,16.25,-53.5,-159.75,-193.75
-161.0,18.5,-37.0,-131.25,-171.0
-209.25,-154.25,-123.5,-190.25,-225.0
-163.5,-57.5,-62.5,-134.25,-182.75
-192.0,-85.75,-114.75,-162.75,-207.25
-168.5,57.5,-70.75,-140.0,-184.75
-172.25,-9.25,-71.5,-141.25,-190.25
-180.25,-5.5,-73.5,-163.5,-208.0
-166.0,47.75,-41.25,-132.5,-176.5
-187.25,-74.25,-104.0,-160.5,-208.75
-156.0,-77.25,-76.75,-127.0,-172.5
-171.0,-149.0,-92.25,-140.0,-191.0
-153.5,-35.25,-31.75,-132.0,-174.0
-149.5,25.75,-6.5,-122.5,-171.75
-171.75,24.0,-23.25,-138.75,-195.75
-139.25,80.0,-23.75,-111.5,-162.25
-178.75,30.25,-124.5,-155.25,-202.75
-145.75,-0.25,-65.5,-117.5,-160.0
-157.75,-68.5,-81.5,-124.75,-185.0
-170.25,-83.75,-56.75,-146.5,-193.0
-161.0,-86.75,-33.5,-131.75,-186.5
-192.0,-75.0,-117.25,-177.0,-220.75
-166.0,34.25,-82.0,-147.0,-194.0
