"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-175","0","33","0","-56","0","-2","0","-41","0","-75","0","-15","0","-25","0","-159","0","-121","0","64","0","14","0","-3","0","-164","0","24","0","25","0","?","0","103","8"
"-186","0","-155","0","-164","0","-66","0","154","0","-293","0","52","0","-43","0","-158","0","-192","0","-33","0","5","0","44","0","-165","0","30","0","18","0","?","0","103","0"
"-271","0","-195","0","-244","0","-155","0","92","0","-414","0","-30","0","-143","0","-164","0","-334","0","-120","0","-72","0","16","0","-173","0","30","0","18","0","?","0","104","6496"
"-151","0","-172","0","-163","0","-97","0","112","0","-386","0","27","0","-83","0","-160","0","-154","0","-115","0","-63","0","-21","0","-166","0","29","0","17","0","?","0","105","5496"
"-213","0","-538","0","-281","0","-441","0","-280","0","-690","0","-300","0","-421","0","-166","0","-238","0","-490","0","-444","0","-437","0","-157","0","29","0","16","0","?","0","106","6456"
"-157","0","-362","0","-162","0","-303","0","-88","0","-530","0","-117","0","-270","0","-167","0","-141","0","-245","0","-282","0","-219","0","-153","0","29","0","16","0","?","0","107","8"
"-119","0","46","0","-141","0","115","0","305","0","-135","0","175","0","97","0","-172","0","-71","0","168","0","97","0","123","0","-164","0","29","0","17","0","?","0","108","6520"
"-160","0","52","0","-180","0","149","0","314","0","-113","0","114","0","109","0","-170","0","-173","0","132","0","78","0","115","0","-168","0","29","0","18","0","?","0","109","5496"
"22","0","39","0","36","0","144","0","247","0","-103","0","202","0","154","0","-163","0","91","0","95","0","157","0","185","0","-162","0","29","0","19","0","?","0","110","6440"
"60","0","-88","0","27","0","-5","0","130","0","-231","0","144","0","16","0","-176","0","179","0","-3","0","93","0","106","0","-167","0","29","0","21","0","?","0","111","16"
"277","0","671","0","246","0","754","0","958","0","492","0","710","0","672","0","-169","0","472","0","824","0","710","0","788","0","-160","0","29","0","21","0","?","0","112","6496"
"541","0","937","0","460","0","967","0","1040","0","810","0","1025","0","943","0","-165","0","827","0","940","0","987","0","998","0","-148","0","30","0","21","0","?","0","113","5488"
"600","0","537","0","476","0","509","0","583","0","445","0","901","0","623","0","-164","0","910","0","421","0","779","0","749","0","-137","0","30","0","21","0","?","0","114","6440"
