T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-207.25,-173.25,-127.0,-144.25,-165.5
21.25,16.25,-4.75,-11.75,25.0
-214.75,-181.0,-131.25,-147.5,-166.0
28.5,9.0,17.5,16.5,4.0
-185.75,-190.5,-156.5,-171.0,-186.0
73.25,18.75,38.0,22.75,-16.25
-265.5,-239.5,-180.25,-189.75,-192.75
77.0,21.0,20.5,27.75,19.0
-282.0,-220.5,-170.5,-188.5,-197.0
101.0,22.75,23.0,32.5,38.25
-296.0,-211.25,-185.5,-217.75,-212.5
118.75,4.25,11.5,44.0,55.0
-301.75,-195.5,-180.0,-207.25,-207.75
101.0,-2.75,21.25,44.75,52.5
-293.25,-249.5,-229.25,-230.0,-210.5
93.5,45.75,68.75,67.25,42.5
-282.5,-273.75,-252.0,-226.75,-212.5
113.25,61.5,94.75,73.0,80.0
-289.75,-247.0,-254.25,-219.75,-210.0
46.0,78.0,110.5,73.5,128.5
-267.0,-196.25,-236.25,-198.75,-207.25
92.0,106.0,140.75,103.0,106.5
-245.0,-212.0,-256.75,-216.75,-215.25
117.5,114.25,163.5,131.0,93.75
-271.5,-216.25,-261.75,-249.0,-211.5
166.25,83.75,115.75,127.0,66.25
-309.5,-222.0,-271.5,-245.0,-243.75
158.0,37.5,64.0,67.0,97.25
-354.25,-224.0,-264.5,-224.25,-212.5
188.5,79.0,105.75,78.25,89.25
-330.75,-229.5,-260.0,-211.5,-207.75
201.5,78.25,120.25,99.75,77.25
-352.0,-223.0,-286.5,-257.5,-259.75
183.75,93.25,86.5,18.75,73.0
-307.75,-221.25,-277.0,-249.25,-255.0
139.25,72.75,80.5,42.75,51.0
-299.5,-202.0,-281.0,-258.75,-258.5
129.5,50.0,89.5,59.25,47.5
-295.5,-203.75,-302.5,-270.0,-263.25
141.0,63.5,92.25,62.5,52.5
-298.75,-212.75,-302.25,-273.0,-257.5
145.75,80.0,118.0,81.5,34.5
-325.25,-225.25,-317.25,-276.75,-245.75
193.0,55.75,82.5,64.75,35.0
-372.0,-196.5,-300.0,-279.5,-262.25
225.5,49.0,80.0,60.75,30.0
-377.5,-195.75,-306.0,-265.5,-259.5
228.0,59.25,100.5,66.5,40.25
-384.75,-182.75,-287.0,-265.0,-247.75
230.75,50.75,81.25,68.75,42.75
-393.25,-191.75,-265.25,-251.75,-255.25
228.25,59.5,94.0,70.0,63.5
-383.5,-236.75,-320.75,-264.75,-246.5
208.25,87.0,127.25,67.25,74.5
-364.25,-216.75,-309.5,-276.75,-237.75
188.0,48.5,101.75,87.25,55.0
-356.75,-201.75,-292.25,-262.25,-253.0
171.5,35.5,95.0,58.0,85.5
-395.5,-178.5,-267.75,-264.5,-292.5
152.5,23.75,91.25,55.0,70.25
-416.0,-175.0,-256.75,-251.0,-310.0
153.0,37.5,87.5,49.75,72.25
-375.0,-166.75,-249.25,-251.75,-306.0
124.75,21.25,62.75,43.0,68.25
-344.5,-166.75,-242.0,-241.75,-280.25
151.0,27.75,76.25,50.25,78.0
-353.75,-193.5,-268.5,-267.0,-281.5
148.5,34.75,80.0,68.75,88.75
-333.5,-199.75,-279.0,-256.5,-272.75
159.75,21.5,60.5,68.25,91.75
-332.25,-200.0,-276.25,-248.0,-271.5
132.0,27.0,66.75,69.5,86.75
-306.5,-204.0,-273.0,-233.25,-293.75
133.75,26.0,74.25,70.0,103.75
-326.0,-214.25,-273.25,-246.0,-296.0
148.25,26.75,88.25,78.75,99.0
-340.25,-206.0,-286.5,-243.5,-304.75
133.5,30.75,121.5,83.0,86.75
-352.5,-207.25,-304.0,-256.75,-321.0
169.25,54.5,153.5,99.25,101.5
-353.25,-221.75,-330.0,-275.75,-320.0
157.75,56.0,158.5,100.75,117.5
-307.5,-246.5,-339.0,-289.5,-318.0
140.25,67.25,141.0,103.0,131.0
-269.75,-241.5,-313.0,-269.75,-310.0
107.25,54.75,120.5,70.25,123.5
-300.0,-253.0,-319.5,-285.5,-309.25
