F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-120.25,-50.0,-174.25,-155.75,-160.5,-186.0,-157.0,-40.5,-82.0,-131.75,-156.0,-140.5
-30.75,-16.0,-6.5,6.0,100.5,-7.5,-7.75,-38.0,-33.25,-4.25,-3.25,-0.5
-106.0,-44.5,-169.25,-148.0,-166.5,-178.75,-164.25,-39.25,-85.0,-109.5,-127.75,-161.5
-31.0,10.75,-4.25,45.75,154.75,21.5,-17.25,-38.5,-29.25,-29.5,-26.75,-20.5
-100.5,-8.75,-171.5,-111.0,-118.75,-134.0,-154.5,-48.75,-76.25,-89.0,-121.5,-181.75
-65.75,-64.0,-39.0,-24.75,115.25,-58.25,-66.25,-51.75,-73.0,-53.25,-45.5,-27.25
-71.25,-8.0,-153.5,-60.5,-92.75,-130.25,-152.25,-16.5,-34.75,-106.5,-116.5,-146.5
-75.5,-71.25,-36.0,-37.5,114.25,-74.75,-47.25,-59.5,-92.0,-43.5,-44.25,-31.5
-75.75,-8.5,-131.5,-46.5,-111.0,-106.25,-150.5,-26.5,-13.5,-104.0,-111.75,-127.25
-80.25,-64.0,-53.5,15.5,135.5,-88.75,-38.0,-54.75,-102.25,-58.5,-73.5,-47.0
-53.75,-12.75,-132.25,2.75,-136.25,-88.5,-169.0,-11.5,20.0,-115.5,-100.25,-110.5
-82.75,-57.5,-41.75,20.75,129.5,-94.5,-22.25,-53.5,-104.25,-53.0,-63.0,-42.25
-49.5,-31.25,-124.75,8.5,-154.5,-106.25,-176.0,-23.75,15.5,-105.75,-99.5,-113.0
-88.75,-64.25,-62.5,20.25,134.0,-86.0,-76.25,-58.25,-105.5,-102.25,-85.75,-45.0
-68.5,-37.0,-107.25,8.0,-169.25,-113.75,-127.5,-38.25,2.5,-58.25,-77.0,-123.0
-88.0,-57.0,-51.75,34.5,117.0,-75.25,-100.5,-58.5,-120.5,-125.0,-82.5,-47.0
-36.5,-4.25,-112.0,33.25,-118.25,-94.0,-111.75,18.75,56.25,-32.25,-71.25,-85.5
-82.25,-67.5,-39.5,30.0,110.25,-82.5,-73.75,-57.0,-108.25,-127.25,-75.5,-44.5
-24.0,-74.0,-106.5,-24.5,-173.5,-161.25,-95.25,34.5,64.75,-16.5,-70.75,-37.0
-99.0,-70.25,-17.75,38.0,114.5,-59.75,-23.0,-81.75,-142.5,-109.25,-54.5,-41.75
-35.25,-45.5,-97.5,-7.5,-182.5,-115.25,-67.25,22.0,35.5,13.75,-41.25,-59.0
-94.75,-28.25,-40.0,69.0,143.25,-37.75,-38.75,-80.5,-118.25,-129.75,-72.5,-49.75
-42.5,-29.0,-76.0,1.0,-210.0,-89.75,-59.0,29.75,31.0,36.5,-13.25,-71.75
-85.25,-20.25,-60.0,68.25,156.0,-64.25,-43.0,-84.25,-113.75,-134.75,-104.75,-46.0
-51.75,-38.75,-86.75,-3.25,-236.25,-41.0,-89.5,19.25,5.75,-11.25,-17.25,-99.25
-118.75,-43.5,-66.25,49.25,122.75,-102.25,-48.75,-111.75,-152.5,-144.5,-100.75,-78.25
-32.0,-69.5,-125.0,-25.5,-261.25,-49.25,-135.75,19.0,34.75,-63.0,-77.25,-68.25
-124.75,-63.25,-43.5,-1.0,113.75,-147.0,-50.75,-111.0,-154.75,-137.5,-80.0,-47.0
-33.5,-69.25,-115.0,-37.0,-312.25,-18.75,-94.25,17.75,34.0,-21.25,-66.0,-76.25
-108.25,-18.5,-34.5,20.0,170.25,-123.5,-56.25,-96.0,-133.25,-133.0,-67.25,-42.25
-18.25,-71.0,-97.0,-33.75,-314.75,-5.75,-95.0,30.5,27.75,-6.75,-44.5,-88.25
-120.0,-73.75,-47.0,-314.0,-75.0,-134.75,-51.25,-116.0,-216.25,-167.75,-134.5,-74.25
-54.5,-116.25,-91.5,-350.0,-552.75,10.75,-76.75,1.75,-75.25,-22.75,-96.0,-107.75
-146.5,-117.0,-46.25,-351.0,-131.5,-179.25,-71.75,-179.5,-248.5,-173.75,-110.5,-96.25
-57.25,-111.75,-111.75,-344.75,-559.5,19.0,-57.5,-1.5,-77.0,-26.75,-105.5,-111.25
-152.25,-144.75,-35.5,-362.75,-161.0,-189.0,-94.5,-195.75,-250.0,-164.75,-94.0,-99.75
-72.75,-123.5,-138.75,-353.5,-571.5,23.0,-59.25,-26.5,-100.5,-48.25,-116.75,-116.0
-126.75,-133.75,-17.75,-356.0,-152.25,-177.5,-81.0,-148.75,-217.75,-162.0,-90.75,-94.75
-59.5,-117.75,-151.5,-340.0,-570.5,19.75,-68.25,-14.75,-79.5,-48.0,-119.75,-110.25
-155.25,-155.25,-4.75,-379.0,-170.25,-172.75,-64.5,-185.5,-259.75,-136.25,-71.75,-112.75
-35.5,-95.75,-163.5,-315.75,-565.5,-6.75,-80.75,27.5,-51.75,-63.0,-123.5,-98.5
-144.0,-157.5,-9.25,-351.5,-154.0,-125.5,-88.75,-169.75,-244.5,-171.75,-88.5,-112.25
-62.5,-130.5,-162.75,-333.25,-599.0,-53.5,-52.0,-32.25,-91.0,-45.75,-126.25,-115.0
-153.75,-176.0,-7.0,-361.5,-180.75,-93.0,-95.5,-171.0,-266.0,-174.25,-92.5,-117.25
-62.5,-123.0,-144.5,-330.75,-579.5,-59.0,-51.25,-22.5,-77.5,-51.75,-112.25,-112.25
-153.0,-166.75,0.75,-348.25,-177.25,-90.5,-85.25,-177.75,-258.75,-153.75,-86.75,-107.0
