T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-225.0,-120.5,-143.75,-159.0,-251.5
95.5,-9.5,10.25,27.75,56.75
-276.5,-138.5,-182.25,-196.75,-314.25
101.0,-0.5,36.25,32.25,105.75
-253.0,-150.75,-191.75,-193.0,-273.25
34.0,-68.75,-17.75,-10.0,61.75
-185.75,-67.25,-93.0,-135.0,-251.0
30.0,-110.5,-58.75,-29.25,60.0
-228.0,-78.0,-124.5,-153.25,-256.25
28.0,-90.75,-45.75,-38.25,78.25
-179.5,-81.75,-117.0,-138.25,-260.75
-33.75,-112.5,-64.0,-45.0,36.5
-198.5,-71.5,-125.25,-145.75,-337.75
-36.5,-95.0,-40.25,-34.5,-1.25
-234.75,-72.0,-113.0,-121.0,-325.0
66.75,-14.0,40.25,30.75,-4.0
-399.25,-146.5,-170.75,-175.75,-382.75
74.75,34.75,89.5,73.5,-21.5
-329.5,-112.0,-133.0,-143.75,-417.75
143.75,70.0,123.5,105.25,-46.5
-356.25,-136.75,-155.25,-168.0,-374.0
108.5,48.75,101.0,88.75,-58.5
-361.0,-162.0,-175.75,-194.75,-403.75
210.5,85.75,143.25,136.5,-29.0
-445.75,-234.5,-237.25,-235.5,-350.75
263.5,113.75,159.5,158.0,-102.5
-446.75,-257.75,-234.0,-242.5,-298.75
401.75,132.5,190.25,190.25,21.25
-607.25,-301.25,-279.5,-289.25,-308.75
371.5,150.5,191.25,190.25,-52.25
-441.25,-291.75,-254.25,-264.5,-229.0
290.75,156.25,169.25,182.75,-61.25
-374.5,-274.25,-227.75,-241.5,-218.5
289.75,148.0,162.0,174.75,-38.25
-384.5,-260.75,-215.75,-242.0,-225.5
264.0,137.0,143.25,158.25,-4.0
-472.25,-311.0,-269.25,-289.75,-269.0
358.25,205.5,204.0,214.25,-37.0
-523.75,-354.5,-306.25,-338.5,-219.0
453.5,268.25,255.0,271.25,-13.75
-671.75,-404.5,-328.25,-384.75,-216.0
496.25,265.25,253.5,286.0,-35.5
-622.5,-409.75,-316.75,-370.0,-174.0
426.0,282.25,247.25,279.0,-88.0
-567.75,-404.75,-258.0,-325.25,-162.75
306.75,214.25,163.0,210.25,-85.25
-508.5,-356.75,-205.5,-281.75,-76.5
268.5,147.75,91.25,177.75,-160.5
-580.75,-347.5,-194.25,-271.25,-96.5
547.0,232.0,177.0,228.25,-50.75
-768.25,-412.0,-261.0,-332.5,-30.5
646.75,243.5,174.25,240.75,-39.5
-762.5,-429.0,-265.0,-354.0,-63.75
608.75,225.0,146.5,233.0,-9.75
-709.5,-413.25,-271.25,-365.25,-79.0
598.5,170.5,139.0,242.0,43.75
-587.0,-348.75,-247.25,-341.75,-8.25
453.25,98.75,104.75,180.75,-18.0
-586.5,-391.0,-319.75,-373.5,-69.25
439.25,121.0,146.5,197.25,-16.0
-589.25,-373.0,-311.75,-359.25,-90.75
473.0,148.75,183.5,216.5,5.25
-594.25,-386.5,-345.5,-393.5,-104.0
504.0,176.0,214.0,234.75,82.75
-622.0,-423.0,-383.75,-436.25,-117.0
288.0,51.75,97.0,157.75,-9.0
-269.75,-234.25,-194.75,-284.75,16.25
83.0,-26.25,27.5,99.0,-55.5
-182.0,-250.75,-220.25,-293.5,72.75
-38.5,-25.5,27.25,88.25,-112.5
-86.0,-228.75,-196.5,-297.5,85.75
-55.5,-43.75,0.75,90.5,-133.25
-208.25,-270.5,-224.5,-343.75,2.25
214.75,110.5,133.5,195.5,5.25
-303.25,-365.75,-327.5,-421.25,-10.5
87.25,62.0,93.25,151.5,-67.5
-254.25,-316.0,-271.0,-371.0,43.75
219.0,78.75,116.25,188.25,-4.0
-300.0,-310.75,-276.0,-382.25,34.0
172.5,152.75,112.25,201.5,-182.75
-337.25,-343.75,-310.5,-399.5,7.75
155.5,152.0,135.5,199.75,-191.5
-325.5,-355.0,-327.5,-398.25,2.0
171.25,169.75,147.75,199.5,-185.5
-363.5,-343.5,-326.0,-395.75,1.0
169.25,173.0,152.0,201.0,-188.75
-336.0,-353.5,-326.5,-380.25,21.0
177.5,198.25,174.75,212.25,-184.75
-320.75,-345.0,-327.75,-370.75,32.25
115.5,186.75,175.5,203.25,-211.5
-287.25,-365.75,-359.5,-380.25,26.75
138.0,206.0,207.5,223.25,-174.25
-286.25,-400.0,-391.5,-398.25,-5.5
114.5,212.25,214.75,246.5,-144.25
-296.25,-394.0,-383.25,-410.25,-1.25
140.0,223.25,222.25,253.75,-126.0
-319.5,-402.25,-397.25,-426.25,-14.5
131.25,218.0,221.0,246.25,-166.5
-291.5,-381.5,-390.5,-410.5,-12.75
113.0,197.75,202.75,243.0,-179.0
-313.25,-379.75,-385.75,-399.0,-10.5
171.75,195.0,228.5,253.75,-175.5
-344.0,-361.5,-394.0,-411.75,-37.25
172.0,170.75,218.25,255.25,-176.75
-374.25,-385.25,-406.5,-412.5,-42.5
185.5,212.75,239.25,247.5,-157.75
-383.25,-417.75,-424.25,-417.0,-55.25
180.0,242.25,260.0,254.5,-158.25
-323.25,-401.25,-432.5,-414.25,-19.25
169.25,262.0,283.75,267.25,-169.0
-336.25,-443.0,-462.75,-423.5,-5.25
156.0,266.75,302.75,276.75,-192.5
-307.75,-427.0,-451.25,-425.0,-8.0
154.75,250.75,272.25,261.0,-158.5
-302.0,-419.5,-411.25,-380.5,-24.25
124.75,248.5,244.25,230.0,-163.0
-263.5,-396.5,-387.5,-378.25,-42.75
105.25,250.75,221.25,225.5,-141.5
-285.5,-386.5,-380.25,-377.75,-84.25
144.0,249.0,222.5,225.5,-134.5
-288.25,-378.5,-375.75,-366.0,-81.25
171.0,258.0,207.5,210.75,-132.0
-342.75,-379.75,-360.0,-355.75,-54.0
232.25,283.5,222.5,211.25,-122.75
-382.25,-392.0,-372.25,-366.5,-50.75
235.25,296.75,208.0,215.75,-88.5
-386.25,-371.0,-349.25,-357.25,-76.25
288.25,284.0,223.25,233.75,-92.0
-454.5,-400.5,-372.5,-378.75,-98.25
324.5,288.75,246.0,254.25,-74.0
-486.25,-419.0,-402.75,-406.0,-103.25
345.0,264.25,249.25,263.25,-75.0
-528.5,-411.0,-389.75,-413.25,-129.25
387.75,280.0,243.0,286.25,-68.75
-569.5,-431.25,-404.75,-440.0,-147.75
405.75,278.25,246.0,296.25,-49.75
-579.0,-414.0,-399.75,-443.5,-144.5
422.5,258.5,196.25,268.75,-45.25
-568.5,-417.0,-367.25,-424.25,-174.25
401.25,280.25,220.0,295.0,-32.5
-580.25,-438.75,-372.75,-435.0,-165.0
450.25,332.75,244.25,308.0,-10.5
-641.25,-504.25,-429.0,-472.25,-184.75
463.0,330.25,232.5,296.0,-1.25
-645.5,-481.0,-396.25,-461.5,-173.5
434.75,286.0,183.5,270.75,-10.5
-630.5,-472.75,-362.5,-446.5,-174.75
439.5,313.75,207.5,269.5,-22.5
-615.25,-456.0,-375.0,-441.5,-156.25
429.5,280.25,197.0,264.0,-42.0
-614.0,-444.75,-377.75,-445.5,-158.25
417.0,288.25,196.75,265.75,-23.0
-568.75,-442.25,-365.25,-426.5,-166.0
367.25,257.5,154.75,239.25,-17.0
-551.5,-409.5,-319.25,-398.0,-195.75
366.0,244.75,165.75,230.75,-4.75
-563.25,-432.0,-353.5,-412.75,-188.5
388.5,265.75,179.75,234.0,-6.25
-563.5,-428.75,-328.5,-404.75,-186.75
370.0,232.75,156.25,231.75,0.25
-557.75,-420.0,-327.5,-413.0,-193.75
341.75,205.75,134.25,225.5,-1.25
