F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-124.0,-205.0,-140.5,-111.75,206.5,-129.5,-130.0,-104.25,-120.0,-133.5,-131.25,-194.75
-48.0,-26.5,-30.0,-44.25,-31.25,-51.5,-18.0,-54.25,-33.5,-38.5,-37.75,-62.75
-104.0,-204.75,-124.5,-34.75,270.5,-124.0,-121.0,-80.25,-111.0,-107.5,-126.75,-145.75
-39.5,186.25,-34.5,-17.0,-45.25,-28.0,-30.25,-35.75,-19.5,-48.0,-34.0,-21.75
-134.5,-256.0,-143.5,-156.5,206.5,-191.0,-189.25,-133.5,-125.5,-161.5,-169.0,-189.75
12.25,239.5,-7.5,82.75,50.0,39.25,53.25,47.25,36.5,50.75,24.0,0.5
-161.75,-288.75,-167.75,-179.5,100.75,-195.0,-231.0,-158.5,-163.75,-202.5,-188.25,-191.5
-1.0,201.75,-5.25,87.0,76.75,-3.0,42.5,17.75,23.5,19.25,5.75,-4.75
-150.0,-280.25,-187.25,-176.25,58.5,-197.0,-211.25,-129.0,-134.0,-189.5,-197.25,-173.25
10.75,228.75,17.25,104.5,63.0,45.5,38.75,23.5,32.5,26.75,20.75,-9.25
-168.25,-337.25,-216.75,-217.25,12.5,-258.75,-233.0,-173.5,-161.25,-207.75,-204.0,-215.0
-17.5,191.0,42.5,98.75,55.0,26.5,49.0,22.75,-2.25,18.5,13.25,-86.25
-151.75,-285.0,-245.25,-216.25,14.0,-261.5,-215.5,-147.0,-138.0,-184.0,-193.5,-252.75
3.0,172.75,66.0,104.5,76.75,-9.75,48.5,27.25,19.0,30.75,38.0,-73.5
-65.75,-231.75,-168.5,-197.5,103.75,-158.25,-134.5,-51.25,-42.75,-103.5,-128.25,-255.5
-60.25,77.25,2.25,32.25,3.5,-174.25,-26.0,-56.75,-54.0,-27.0,-16.75,-131.25
-36.0,-172.5,-116.25,-147.5,134.0,-150.25,-85.75,10.75,-4.5,-54.25,-85.5,-273.0
-31.5,5.25,11.0,85.0,28.5,-104.5,8.5,-22.75,-23.75,10.75,15.25,-166.25
-15.0,-172.0,-61.25,-129.25,326.0,-81.25,-50.5,3.0,10.0,-20.25,-53.75,-298.0
-38.75,40.25,-15.5,92.25,-15.0,-131.25,-16.25,-3.5,-16.75,-11.5,-9.0,-122.5
-50.75,-272.75,-79.75,-146.75,465.5,-116.5,-71.75,-52.5,-9.5,-42.75,-70.25,-310.0
-58.0,-27.25,-41.5,106.75,-40.0,-136.0,-41.5,-16.0,-54.75,-32.0,-35.75,-152.25
-17.25,-201.5,-38.0,-58.5,735.75,-14.5,-34.75,-21.0,24.5,-0.5,-22.5,-280.5
-73.5,-51.25,-79.75,57.5,9.5,-220.75,-114.0,-48.5,-55.0,-93.5,-76.5,-99.25
-74.0,-265.0,-9.5,29.75,864.25,38.5,-6.75,-85.25,-48.25,15.75,-1.0,-354.0
-44.0,34.75,-76.5,52.0,9.5,-221.75,-137.25,-7.0,-21.5,-90.25,-83.5,-47.25
-19.0,-275.0,-0.75,132.0,967.75,176.75,12.0,-34.25,23.25,46.5,31.25,-230.25
-87.5,-22.75,-129.25,-87.25,-143.75,-382.25,-180.75,-73.0,-103.75,-135.75,-130.25,-57.25
-21.5,-223.0,1.0,133.75,1047.75,146.5,30.0,-39.5,7.75,47.5,31.25,-303.75
-39.75,71.0,-105.75,-40.75,-225.25,-216.25,-171.25,8.25,-35.75,-110.5,-105.5,22.5
-49.5,-314.25,3.5,136.25,1024.25,65.75,35.75,-87.5,-14.5,25.5,23.75,-312.75
-37.25,70.0,-82.5,28.25,-181.0,-149.5,-153.75,7.75,-26.5,-84.0,-82.5,33.0
-10.0,-277.75,-7.5,88.25,950.75,64.75,27.5,-59.25,17.25,18.25,15.75,-289.75
-61.5,51.5,-88.0,8.25,-262.0,-159.5,-140.25,-23.25,-62.5,-72.0,-83.0,26.0
-19.5,-301.25,-10.25,71.5,1005.25,39.0,16.5,-44.0,12.5,-0.5,-0.75,-255.5
-74.75,-13.75,-137.25,-79.5,-435.75,-247.25,-190.5,-53.0,-80.5,-125.5,-130.75,-17.5
-41.5,-284.5,49.0,171.5,1107.0,133.25,85.0,-57.75,7.5,60.25,55.25,-288.5
-106.5,-62.75,-183.5,-108.25,-584.0,-298.75,-234.0,-63.0,-108.25,-162.5,-179.5,32.5
30.75,-215.0,125.5,269.25,1215.25,228.5,147.75,-1.5,75.25,111.25,112.25,-265.25
-112.25,-33.25,-264.5,-222.0,-749.0,-446.75,-284.0,-74.25,-130.75,-184.5,-225.75,35.5
24.25,-317.25,141.75,250.75,1272.75,271.25,144.75,-16.0,66.75,109.75,127.0,-287.0
-113.0,13.25,-235.0,-93.75,-685.25,-397.5,-289.25,-54.25,-117.5,-173.0,-211.0,77.5
18.5,-295.25,133.75,148.25,1119.75,201.0,161.75,-19.25,55.75,103.5,120.0,-339.5
-72.0,-4.25,-219.5,-20.5,-606.25,-342.75,-284.25,-4.75,-83.75,-114.25,-166.25,88.75
8.0,-345.75,57.25,82.25,1048.5,81.75,93.75,-73.75,44.5,19.25,51.25,-336.75
-28.25,80.5,-168.0,32.0,-658.25,-283.5,-236.25,94.75,-22.0,-61.75,-122.75,175.0
-70.5,-535.5,28.25,3.5,1072.5,43.5,27.25,-198.0,-32.0,-52.5,18.75,-412.0
-21.25,169.0,-160.75,5.5,-824.0,-355.75,-227.0,115.5,-18.5,-50.5,-112.25,155.0
-36.5,-488.25,0.5,48.5,1266.5,138.0,28.25,-157.25,-13.75,-54.0,-2.75,-255.5
-56.5,232.75,-142.25,40.0,-860.0,-318.5,-223.25,79.5,-41.0,-50.5,-110.75,168.0
-37.75,-518.25,10.25,177.75,1339.0,228.0,47.25,-147.5,-22.25,-37.0,8.25,-305.75
-1.5,383.0,-129.25,-46.5,-960.25,-302.75,-199.25,148.25,18.5,-42.25,-103.5,247.0
