"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-61","0","32","0","-227","0","5","0","-469","0","-16","0","-291","0","-138","0","-171","0","48","0","159","0","-154","8056","-237","0","-402","0","29","0","23","0","?","0","0","0"
"-185","0","-182","0","-143","0","-135","0","-665","0","-530","2464","-153","0","-92","0","-172","0","-160","0","-349","0","-207","8056","-240","0","-203","0","22","0","24","0","?","0","0","0"
"-170","0","-189","0","-148","0","-156","0","-661","0","-542","2464","-157","0","-115","0","-178","24","-153","0","-306","0","-208","8056","-241","0","-189","0","22","0","24","0","?","0","0","0"
"-164","0","-183","2968","-149","0","-175","0","-639","0","-557","2464","-150","0","-129","0","-164","24","-146","0","-274","0","-214","8056","-257","0","-177","0","22","0","24","0","?","0","0","0"
"-176","0","-188","2968","-143","0","-190","0","-654","0","-577","2464","-140","0","-125","0","-188","24","-157","0","-310","0","-218","8056","-245","0","-184","0","21","0","24","0","?","0","81","3160"
"-182","0","-203","2968","-148","0","-190","0","-690","0","-586","2464","-152","0","-128","0","-178","24","-158","0","-327","0","-204","8056","-228","0","-201","0","21","0","24","0","?","0","82","2464"
"-188","0","-202","2968","-153","0","-178","0","-686","0","-586","2464","-164","0","-111","0","-167","24","-169","0","-330","0","-187","8056","-239","0","-213","0","21","0","24","0","?","0","83","8"
"-199","0","-202","2968","-149","0","-192","0","-656","0","-592","2464","-142","0","-100","0","-183","24","-184","0","-327","0","-193","8056","-255","0","-205","0","21","0","24","0","?","0","84","2952"
"-207","0","-227","2968","-144","0","-202","0","-659","0","-590","2464","-114","0","-119","0","-171","24","-181","0","-316","0","-207","8056","-243","0","-199","0","21","0","24","0","?","0","85","3144"
"-211","0","-228","2968","-141","0","-167","0","-683","0","-576","2464","-137","0","-114","0","-182","24","-176","0","-341","0","-212","8056","-232","0","-211","0","21","0","24","0","?","0","86","2464"
"-208","0","-201","2968","-150","0","-160","0","-701","0","-580","2464","-190","0","-107","0","-178","24","-175","0","-354","0","-221","8056","-245","0","-218","0","21","0","24","0","?","0","87","24"
"-210","0","-204","2968","-160","0","-194","0","-716","0","-616","2464","-187","0","-123","0","-172","24","-187","0","-338","0","-227","8056","-250","0","-221","0","21","0","24","0","?","0","88","2960"
"-217","0","-226","2968","-166","0","-185","0","-703","0","-631","2464","-136","0","-123","0","-182","24","-213","0","-339","0","-232","8056","-259","0","-218","0","21","0","24","0","?","0","89","3144"
"-205","0","-227","2968","-174","0","-188","0","-672","0","-613","2464","-120","0","-124","0","-168","24","-215","0","-339","0","-248","8056","-280","0","-210","0","21","0","24","0","?","0","90","2464"
"-186","0","-208","2968","-166","0","-230","0","-654","0","-597","2464","-136","0","-142","0","-179","24","-186","0","-319","0","-242","8056","-278","0","-203","0","21","0","24","0","?","0","91","16"
"-192","0","-200","2968","-152","0","-236","0","-663","0","-593","2464","-149","0","-150","0","-166","24","-180","0","-315","0","-231","8056","-273","0","-204","0","21","0","24","0","?","0","92","2968"
"-223","0","-220","2968","-156","0","-210","0","-695","0","-617","2464","-156","0","-143","0","-161","24","-221","0","-371","0","-246","8056","-279","0","-214","0","21","0","24","0","?","0","93","3144"
"-229","0","-236","2968","-151","0","-171","0","-714","0","-637","2464","-152","0","-125","0","-192","24","-233","0","-390","0","-242","8056","-267","0","-226","0","22","0","24","0","?","0","94","2472"
"-196","0","-215","2968","-142","0","-149","0","-693","0","-615","2464","-151","0","-90","0","-170","24","-189","0","-324","0","-202","8056","-258","0","-210","0","22","0","24","0","?","0","95","16"
"-175","0","-190","2968","-162","0","-179","0","-678","0","-592","2464","-176","0","-84","0","-172","24","-172","0","-305","0","-194","8056","-288","0","-178","0","22","0","24","0","?","0","96","2944"
"-185","0","-193","2968","-189","0","-190","0","-692","0","-596","2464","-162","0","-117","0","-182","24","-188","0","-349","0","-231","8056","-307","0","-181","0","22","0","24","0","?","0","97","3144"
"-184","0","-205","2968","-180","0","-150","0","-684","0","-599","2464","-115","0","-127","0","-174","24","-166","0","-319","0","-239","8056","-288","0","-195","0","22","0","24","0","?","0","98","2464"
"-179","0","-210","2968","-155","0","-166","0","-686","0","-594","2464","-143","0","-109","0","-188","24","-156","0","-292","0","-210","8056","-270","0","-204","0","22","0","24","0","?","0","99","16"
"-210","0","-214","2968","-153","0","-211","0","-726","0","-598","2464","-187","0","-110","0","-169","24","-201","0","-368","0","-205","8056","-270","0","-224","0","22","0","24","0","?","0","100","2960"
"-221","0","-210","2968","-160","0","-183","0","-725","0","-602","2464","-144","0","-127","0","-169","24","-214","0","-374","0","-235","8056","-274","0","-216","0","22","0","24","0","?","0","101","3152"
"-186","0","-193","2968","-153","0","-163","0","-687","0","-595","2464","-105","0","-128","0","-177","24","-163","0","-297","0","-236","8056","-274","0","-184","0","22","0","24","0","?","0","102","2480"
"-166","0","-186","2968","-155","0","-184","0","-689","0","-583","2464","-139","0","-119","0","-168","24","-133","0","-298","0","-211","8056","-275","0","-189","0","22","0","24","0","?","0","103","8"
"-190","0","-222","2968","-163","0","-182","0","-729","0","-609","2464","-173","0","-122","0","-182","24","-169","0","-349","0","-209","8056","-261","0","-220","0","22","0","24","0","?","0","104","2968"
"-219","0","-251","2968","-157","0","-198","0","-756","0","-646","2464","-183","0","-133","0","-170","24","-214","0","-367","0","-221","8056","-251","0","-229","0","22","0","24","0","?","0","105","3144"
"-207","0","-233","2968","-167","0","-242","0","-750","0","-645","2464","-178","0","-149","0","-180","24","-208","0","-341","0","-241","8056","-269","0","-219","0","22","0","24","0","?","0","106","2488"
"-184","0","-216","2968","-179","0","-207","0","-729","0","-634","2464","-150","0","-156","0","-187","24","-186","0","-337","0","-261","8056","-285","0","-203","0","22","0","24","0","?","0","107","24"
"-179","0","-206","2968","-164","0","-139","0","-716","0","-623","2464","-139","0","-131","0","-167","24","-177","0","-346","0","-253","8056","-280","0","-188","0","22","0","24","0","?","0","108","2944"
"-171","0","-196","2968","-161","0","-177","0","-712","0","-611","2464","-154","0","-117","0","-182","24","-171","0","-309","0","-238","8056","-268","0","-183","0","22","0","23","0","?","0","109","3136"
