T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-158.0,-168.75,-180.25,-204.25,-309.0
12.75,2.0,19.5,10.5,34.5
-173.75,-156.0,-190.75,-216.5,-349.0
31.0,-13.25,-3.0,-17.0,-16.5
-154.75,-107.25,-239.25,-316.25,-369.75
-31.5,-113.5,-70.5,14.5,-10.5
-89.25,-81.25,-245.75,-361.75,-399.75
-18.75,-186.5,-174.25,-107.25,21.25
-176.0,-51.0,-244.0,-343.0,-346.25
42.5,-160.5,-86.5,26.75,96.5
-177.25,-56.5,-251.0,-379.75,-357.25
13.75,-155.0,-78.25,-40.25,88.25
-120.0,-41.5,-209.0,-382.75,-363.0
-33.5,-205.25,-90.25,-82.0,144.0
-175.75,-36.75,-242.75,-443.0,-404.75
21.0,-187.25,-64.5,-55.0,161.0
-210.5,-20.5,-238.75,-394.75,-404.75
50.5,-196.0,-43.75,-5.0,170.5
-196.0,-14.5,-193.5,-324.5,-300.25
-31.5,-200.25,-34.75,49.25,229.25
-159.75,16.5,-152.75,-269.5,-231.5
-57.0,-221.75,-4.25,99.5,234.5
-185.5,5.25,-158.75,-240.25,-244.0
-1.25,-188.5,-11.75,75.5,195.75
-188.25,25.25,-150.0,-262.75,-257.25
38.5,-200.25,40.0,127.25,151.0
-254.25,-4.75,-251.25,-341.75,-229.75
40.25,-188.75,49.5,83.5,79.75
-265.0,-30.25,-229.25,-324.5,-226.75
116.25,-142.25,48.0,83.75,39.75
-334.25,-62.0,-264.0,-380.75,-223.75
172.0,-145.25,36.25,40.5,39.25
-330.75,-64.0,-239.25,-360.25,-256.25
143.75,-185.5,-51.5,11.75,60.0
-297.75,-14.75,-208.5,-330.75,-248.5
74.5,-203.0,-12.25,29.25,51.75
-326.75,49.5,-186.0,-344.5,-306.75
109.5,-194.75,23.0,68.75,8.0
-356.25,93.0,-146.25,-353.75,-326.5
122.0,-234.0,-15.5,-30.75,12.25
-379.25,82.0,-143.25,-310.0,-322.25
195.0,-229.0,-2.75,-21.75,17.75
-453.75,89.0,-172.75,-336.5,-296.75
237.5,-230.5,14.5,-17.0,-10.5
-450.75,71.25,-203.75,-403.25,-305.0
240.5,-214.0,-11.75,-41.0,-5.25
-464.5,41.25,-224.25,-428.0,-287.0
247.5,-216.25,-21.5,-40.0,26.75
-484.75,32.0,-201.0,-400.75,-267.25
263.75,-210.75,1.75,17.75,88.5
-481.25,20.25,-200.5,-363.75,-232.5
242.0,-211.25,1.0,-11.0,25.25
-460.5,23.25,-197.0,-361.5,-171.25
236.75,-181.5,-6.75,-1.0,23.5
-459.5,-17.0,-196.25,-346.75,-158.0
234.0,-165.5,-9.0,14.5,43.75
-442.75,-6.5,-212.25,-376.0,-171.5
160.5,-178.0,-22.0,3.75,-19.25
-436.0,-2.0,-177.25,-320.25,-155.5
-19.75,-215.0,-82.0,-43.75,-176.5
-325.5,79.5,-65.0,-256.25,-10.75
-130.0,-274.25,-115.75,-37.25,-219.75
-273.25,153.0,5.25,-206.25,71.75
-10.5,-244.5,-82.5,-10.0,-91.25
-360.0,140.5,-5.0,-203.0,55.75
24.25,-285.5,-103.25,-17.25,-148.75
-316.0,168.5,34.25,-194.0,78.5
34.25,-286.5,-143.75,-28.5,-94.5
-207.75,192.5,80.0,-140.25,89.25
-10.25,-312.0,-192.0,-62.75,-94.0
-193.0,230.75,92.75,-163.5,80.25
43.25,-345.5,-199.75,-41.25,-66.25
-138.25,247.25,103.25,-134.0,112.0
-2.25,-380.5,-225.5,-71.25,-111.75
