F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-156.0,-233.5,-193.0,-750.5,-657.5,-132.0,-162.0,-123.25,-202.25,-165.5,-207.0,-270.5
-51.0,-44.5,10.5,-29.5,-49.0,-47.25,41.0,-70.0,-87.5,-7.75,-0.25,-60.25
-181.5,-249.25,-184.5,-673.0,-637.5,-119.0,-226.0,-123.5,-245.75,-197.5,-214.5,-296.25
-12.25,-27.75,-36.75,6.5,-42.5,28.0,79.5,30.0,-67.75,13.0,-91.75,-63.5
-157.5,-247.25,-217.25,-655.25,-634.75,-220.5,-283.25,-158.0,-225.5,-342.0,-238.0,-314.5
-115.25,-19.25,-12.0,162.75,130.5,106.5,89.75,-143.5,-14.75,36.0,-80.25,-98.75
-122.5,-354.5,-269.75,-378.75,-633.5,-228.0,-341.25,-132.0,-280.5,-410.25,-344.25,-277.25
-128.25,-129.75,-47.75,372.25,157.0,28.75,112.0,-174.25,19.25,-35.5,-154.75,-93.25
-17.0,-224.5,-215.25,-216.0,-434.75,-102.25,-335.0,-42.25,-226.25,-309.75,-177.5,-146.75
-185.5,-152.25,-25.75,265.0,153.75,-87.5,104.75,-288.0,-67.5,-34.5,-163.75,-105.0
-4.75,-148.25,-220.25,-178.75,-363.25,-29.0,-323.25,-10.5,-169.75,-284.5,-225.25,-166.75
-186.5,-179.75,-20.25,201.0,92.75,-121.0,140.25,-273.75,-108.75,-9.5,-200.5,-102.75
-8.75,-151.0,-251.0,-170.0,-436.5,-65.75,-372.25,-3.75,-120.5,-289.75,-256.5,-128.5
-206.5,-186.25,-17.5,166.5,67.0,-98.25,127.5,-318.0,-88.25,-40.0,-250.75,-130.0
21.5,-127.25,-250.5,-208.0,-448.25,-68.25,-330.75,47.0,-119.75,-258.25,-255.25,-105.25
-228.0,-176.5,6.75,158.0,64.75,-80.25,99.75,-342.5,-83.0,-46.25,-203.25,-132.0
38.0,-107.0,-255.5,-282.0,-463.75,-84.5,-320.25,29.0,-133.75,-257.0,-219.0,-126.0
-210.25,-165.0,44.0,198.25,110.25,-104.75,93.0,-343.25,-25.25,-1.25,-133.0,-40.0
108.0,-166.5,-210.5,-313.25,-512.5,-109.25,-306.0,71.25,-212.25,-226.0,-164.0,-41.5
-198.25,-65.75,52.75,341.25,230.75,-77.5,96.25,-277.75,298.0,34.75,-55.0,34.25
141.75,-116.75,-210.5,-269.25,-439.75,-101.25,-263.5,65.5,-261.25,-190.75,-124.75,-39.75
-154.0,-95.75,53.5,314.75,193.5,-124.25,86.5,-264.75,350.25,24.75,-27.5,37.0
132.25,-141.5,-202.0,-231.75,-468.5,-61.25,-308.25,93.0,-276.75,-182.25,-105.25,-73.75
-229.5,-38.0,3.75,284.0,217.5,-158.5,135.75,-344.5,312.0,0.25,-112.25,24.75
116.75,-210.75,-154.5,-341.75,-531.25,-18.75,-317.0,86.75,-493.5,-128.25,-34.5,-113.0
-250.5,-17.5,1.0,269.25,217.75,-196.0,103.25,-360.0,388.0,-42.5,-134.5,27.25
114.25,-149.75,-219.5,-292.75,-467.75,-4.0,-288.75,106.75,-520.0,-171.5,-132.0,-180.25
-239.75,-35.5,7.5,222.25,223.5,-210.25,78.0,-358.5,326.0,-18.25,-118.5,26.5
75.75,-166.75,-187.0,-312.25,-486.0,36.5,-261.25,105.25,-553.75,-172.5,-117.0,-213.75
-218.75,11.0,-16.0,268.0,276.75,-259.5,54.75,-358.75,361.75,-18.75,-157.5,56.25
102.5,-147.5,-228.75,-305.25,-452.75,129.5,-260.25,146.75,-554.5,-206.25,-176.75,-233.5
-266.5,-9.0,16.5,236.75,256.75,-322.5,59.5,-392.0,321.5,-12.75,-155.25,4.5
88.0,-155.5,-240.75,-278.5,-447.25,146.5,-268.0,175.25,-552.0,-241.0,-183.0,-207.25
-242.25,9.25,23.5,279.5,284.25,-298.75,36.25,-369.0,362.25,-25.5,-139.25,23.0
89.5,-157.25,-230.75,-302.0,-446.5,55.75,-259.75,169.25,-578.75,-207.5,-157.75,-217.25
-210.75,114.25,19.75,126.0,485.25,-270.25,92.25,-260.75,398.5,-5.25,-166.75,-22.5
83.25,23.5,-204.75,-418.25,-121.75,61.0,-244.25,203.75,-525.75,-154.5,-111.5,-262.25
-228.0,218.75,13.0,4.0,630.75,-318.25,118.25,-247.5,310.5,7.0,-161.5,-49.5
79.75,6.0,-218.0,-387.75,-128.0,84.75,-237.25,225.5,-574.25,-135.0,-209.0,-278.0
-235.5,165.5,22.25,60.0,551.25,-314.75,119.75,-217.75,268.25,-34.0,-151.0,-28.75
59.75,-40.5,-193.5,-338.75,-175.75,106.0,-251.75,186.0,-613.75,-119.0,-185.5,-276.0
-235.25,154.75,20.75,154.25,507.0,-359.5,103.5,-250.75,334.5,-33.5,-155.25,-4.0
63.75,-50.0,-206.25,-328.25,-193.0,144.25,-276.0,186.75,-647.0,-146.75,-200.5,-308.25
-243.75,184.75,-11.75,205.25,480.5,-381.5,150.0,-248.0,334.75,-28.0,-207.75,9.0
79.0,-49.25,-205.25,-250.25,-170.5,169.5,-304.25,172.5,-636.75,-188.0,-229.5,-305.25
-233.25,242.5,-22.25,280.5,491.25,-418.5,142.5,-210.5,381.0,-27.75,-225.0,12.0
47.0,-71.25,-209.75,-211.25,-166.25,259.0,-326.75,115.5,-648.5,-211.25,-236.5,-315.0
-245.25,232.25,-22.0,348.5,463.25,-504.5,128.0,-220.0,348.5,-43.5,-224.0,69.25
82.25,-51.0,-189.5,-185.5,-135.5,296.25,-315.5,142.25,-628.0,-161.25,-184.75,-261.0
-229.25,191.0,-11.25,383.25,444.0,-536.75,133.75,-230.5,361.75,-27.5,-163.25,89.75
9.0,-23.0,-173.75,-156.75,-133.0,290.0,-303.5,86.25,-684.25,-175.5,-201.25,-263.5
-173.0,201.75,-38.25,442.75,471.25,-510.5,104.5,-179.5,474.75,-21.25,-170.5,102.25
16.75,-10.0,-144.5,-219.0,-101.75,276.25,-267.5,66.0,-684.5,-187.25,-200.0,-239.0
-178.75,204.25,-63.25,503.5,510.5,-486.5,97.0,-172.5,450.5,-5.5,-143.25,103.0
-9.0,-85.25,-113.25,-255.5,-167.25,247.0,-278.5,40.75,-710.75,-204.25,-197.25,-245.25
-127.5,210.25,-98.25,564.0,542.75,-457.5,89.0,-144.25,485.25,-1.5,-150.25,120.25
-36.75,-146.75,-119.0,-317.25,-241.25,177.5,-293.25,7.0,-740.0,-236.5,-216.75,-275.25
-186.75,159.5,-73.25,563.25,549.75,-460.25,96.75,-200.75,423.75,15.75,-118.0,88.5
21.25,-138.0,-145.5,-388.25,-297.0,122.75,-260.25,66.75,-688.75,-235.0,-225.75,-357.5
-145.25,190.25,-42.0,728.5,631.75,-445.5,111.5,-126.5,509.75,73.25,-74.75,176.25
-14.0,-231.75,-139.5,-228.75,-268.25,16.25,-289.75,32.75,-735.5,-234.0,-220.5,-392.0
-162.5,176.25,-8.0,1025.0,861.75,-458.5,162.0,-132.5,502.0,97.25,-39.25,230.75
34.0,-176.0,-115.0,47.75,-50.5,129.5,-261.5,129.75,-691.75,-186.0,-189.25,-263.5
-195.0,130.25,28.5,1075.25,925.0,-540.5,125.75,-220.25,489.25,84.5,-28.75,187.0
28.25,-245.0,-113.5,75.25,155.0,182.25,-269.5,91.5,-723.75,-189.25,-198.75,-293.5
-199.75,187.0,-8.75,1074.0,1087.0,-532.0,136.75,-226.0,488.25,81.25,-40.5,171.0
76.0,-161.0,-75.25,164.5,348.0,283.0,-237.0,144.75,-669.75,-162.75,-171.5,-155.0
-227.5,191.5,7.5,1088.75,1174.5,-511.0,119.5,-260.0,432.5,72.0,-9.75,112.0
68.75,-137.5,-114.25,133.5,381.25,317.0,-219.25,146.75,-694.0,-175.75,-197.5,-112.75
-195.5,194.0,24.75,1088.5,1249.25,-477.0,136.25,-245.75,481.0,85.25,-9.5,107.25
98.75,-53.25,-105.5,109.75,397.0,385.5,-238.75,167.0,-651.75,-164.25,-164.5,-89.5
-237.0,97.25,-19.5,1018.75,1149.75,-601.25,111.25,-288.75,394.0,37.5,-45.0,90.0
115.0,-25.25,-91.25,192.25,463.25,479.25,-234.75,183.5,-608.0,-160.25,-168.5,-44.0
