F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-142496,-299280,-760760,-1344,-77504,-560720,-4584,-856680,0,-1425240,-228528,-966240,-1224608,-320112,0,0,,256
-142496,-306160,-680680,-1312,-80272,-547680,-4392,-601800,0,-1479168,-256680,-841800,-914480,-300352,0,0,,136
-191552,-319920,-612040,-1312,-155008,-565936,-4200,-708000,0,-1679472,-303048,-1017480,-1081472,-318136,0,0,,0
-231264,-330240,-715000,-1408,-202064,-578976,-4392,-1104480,0,-1848960,-321264,-1244400,-1439312,-361608,0,0,,456
-209072,-313040,-720720,-1440,-166080,-563328,-4272,-1161120,0,-1717992,-314640,-1193160,-1192800,-296400,0,0,,320
-213744,-323360,-812240,-1376,-141168,-599840,-4680,-1069080,0,-1610136,-334512,-1112640,-1280272,-310232,0,0,,504
-228928,-373240,-903760,-1296,-174384,-631136,-4368,-1154040,0,-1640952,-341136,-1200480,-1614256,-308256,0,0,,176
-203232,-369800,-600600,-1288,-163312,-573760,-4200,-962880,0,-1687176,-319608,-1149240,-1200752,-316160,0,0,,184
-185712,-299280,-429000,-1368,-77504,-532032,-4536,-941640,0,-1579320,-312984,-1024800,-914480,-341848,0,0,,192
-183376,-271760,-629200,-1424,-80272,-550288,-4128,-1139880,0,-1363608,-312984,-1090680,-1184848,-284544,0,0,,600
-183376,-311320,-560560,-1352,-149472,-511168,-4320,-736320,0,-1417536,-298080,-1068720,-1105328,-312208,0,0,,208
-181040,-325080,-417560,-1264,-110720,-466832,-4296,-318600,0,-1563912,-279864,-936960,-866768,-318136,0,0,,648
-184544,-301000,-720720,-1320,-63664,-511168,-4296,-1047840,0,-1594728,-304704,-958920,-1160992,-306280,0,0,,448
-193888,-290680,-726440,-1448,-121792,-534640,-4536,-1508040,0,-1594728,-342792,-988200,-1256416,-345800,0,0,,464
-203232,-318200,-371800,-1408,-179920,-518992,-4056,-637200,0,-1602432,-332856,-922320,-858816,-306280,0,0,,0
-202064,-314760,-531960,-1328,-163312,-505952,-4200,-113280,0,-1533096,-296424,-893040,-986048,-326040,0,0,,0
-176368,-263160,-760760,-1352,-138400,-461616,-4272,-743400,0,-1271160,-274896,-915000,-1375696,-326040,0,0,,768
-169360,-244240,-612040,-1400,-160544,-419888,-4248,-1331040,0,-1147896,-294768,-893040,-1304128,-302328,0,0,,0
-178704,-263160,-491920,-1392,-166080,-443360,-4488,-899160,0,-1278864,-303048,-841800,-1240512,-329992,0,0,,0
-158848,-287240,-537680,-1336,-132864,-485088,-3960,-431880,0,-1294272,-268272,-907680,-1455216,-294424,0,0,,280
-154176,-278640,-623480,-1344,-88576,-448576,-4272,-608880,0,-1240344,-273240,-1112640,-1487024,-324064,0,0,,288
