"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-104","0","-130","1896","-176","5920","-164","8","-89","0","-151","2720","-173","0","-137","8072","-158","16","-128","6336","-123","0","-153","7688","-154","7136","-127","0","22","0","23","0","?","0","238","1840"
"-278","0","-322","1896","-220","5920","-171","8","-260","0","-355","2720","-179","0","-314","8072","-185","16","-289","6336","-272","0","-315","7688","-256","7136","-180","0","22","0","23","0","?","0","16","0"
"-205","0","-255","1896","-161","5920","-168","8","-186","0","-287","2720","-171","0","-222","8072","-161","16","-216","6336","-203","0","-175","7688","-165","7136","-146","0","22","0","23","0","?","0","17","24"
"-94","0","-134","1896","-111","5920","-165","8","-96","0","-158","2720","-175","0","-117","8072","-174","16","-112","6336","-127","0","-45","7688","-66","7136","-135","0","22","0","23","0","?","0","18","16"
"-139","0","-194","1896","-183","5920","-174","8","-161","0","-221","2720","-174","0","-200","8072","-174","16","-172","6336","-169","0","-171","7688","-176","7136","-149","0","22","0","23","0","?","0","19","0"
"-137","0","-212","1896","-197","5920","-178","8","-158","0","-235","2720","-171","0","-185","8072","-157","16","-192","6336","-140","0","-206","7688","-223","7136","-132","0","22","0","23","0","?","0","20","8"
"-27","0","-73","1896","-119","5920","-165","8","-34","0","-88","2720","-179","0","-4","8072","-179","16","-81","6336","-26","0","-27","7688","-88","7136","-114","0","22","0","23","0","?","0","21","0"
"-99","0","-132","1896","-148","5920","-161","8","-114","0","-168","2720","-166","0","-108","8072","-160","16","-130","6336","-119","0","-122","7688","-147","7136","-127","0","22","0","23","0","?","0","22","8"
"-288","0","-334","1896","-209","5920","-172","8","-314","0","-400","2720","-171","0","-373","8072","-169","16","-317","6336","-318","0","-388","7688","-303","7136","-173","0","22","0","23","0","?","0","23","8"
"-195","0","-207","1896","-150","5920","-170","8","-210","0","-270","2720","-180","0","-250","8072","-171","16","-227","6336","-207","0","-239","7688","-180","7136","-148","0","22","0","23","0","?","0","24","0"
"-46","0","-21","1896","-128","5920","-159","8","-37","0","-63","2720","-170","0","-47","8072","-161","16","-56","6336","-18","0","-14","7688","-85","7136","-113","0","22","0","23","0","?","0","25","24"
"-125","0","-137","1896","-176","5920","-166","8","-108","0","-174","2720","-177","0","-141","8072","-183","16","-134","6336","-81","0","-133","7688","-183","7136","-148","0","22","0","23","0","?","0","26","8"
"-140","0","-217","1896","-154","5920","-179","8","-149","0","-255","2720","-180","0","-177","8072","-160","16","-178","6336","-128","0","-174","7688","-155","7136","-137","0","22","0","23","0","?","0","27","8"
"-44","0","-122","1896","-110","5920","-171","8","-54","0","-155","2720","-180","0","-39","8072","-170","16","-98","6336","-45","0","0","7688","-41","7136","-117","0","22","0","23","0","?","0","28","24"
"-50","0","-115","1896","-131","5920","-158","8","-52","0","-138","2720","-168","0","-70","8072","-183","16","-103","6336","-60","0","-44","7688","-97","7136","-128","0","22","0","23","0","?","0","29","24"
"-106","0","-168","1896","-148","5920","-162","8","-125","0","-193","2720","-167","0","-210","8072","-163","16","-153","6336","-138","0","-223","7688","-166","7136","-133","0","22","0","23","0","?","0","30","16"
"-205","0","-242","1896","-146","5920","-169","8","-215","0","-283","2720","-182","0","-289","8072","-177","16","-224","6336","-205","0","-256","7688","-148","7136","-158","0","21","0","23","0","?","0","31","0"
"-269","0","-297","1896","-192","5920","-166","8","-254","0","-339","2720","-169","0","-332","8072","-162","16","-267","6336","-234","0","-242","7688","-210","7136","-154","0","21","0","23","0","?","0","32","16"
"-160","0","-177","1896","-243","5920","-164","8","-120","0","-198","2720","-167","0","-246","8072","-172","16","-171","6336","-130","0","-224","7688","-266","7136","-131","0","21","0","23","0","?","0","33","16"
"-36","0","-34","1896","-200","5920","-165","8","5","0","-52","2720","-170","0","-77","8072","-173","16","-55","6336","-4","0","-115","7688","-149","7136","-121","0","20","0","23","0","?","0","34","24"
"-146","0","-177","1896","-149","5920","-164","8","-139","0","-218","2720","-166","0","-139","8072","-147","16","-154","6336","-135","0","-145","7688","-88","7136","-153","0","20","0","23","0","?","0","35","0"
"-333","0","-416","1896","-206","5920","-166","8","-334","0","-462","2720","-176","0","-381","8072","-176","16","-343","6336","-370","0","-377","7688","-262","7136","-205","0","20","0","23","0","?","0","36","16"
"-204","0","-284","1896","-224","5920","-164","8","-192","0","-318","2720","-165","0","-286","8072","-159","16","-223","6336","-233","0","-321","7688","-273","7136","-151","0","20","0","23","0","?","0","37","24"
"-7","0","-51","1896","-147","5920","-163","8","9","0","-85","2720","-165","0","-22","8072","-155","16","-30","6336","28","0","-73","7688","-72","7136","-98","0","20","0","23","0","?","0","38","0"
"-76","0","-113","1896","-125","5920","-166","8","-66","0","-148","2720","-180","0","-76","8072","-180","16","-100","6336","-29","0","-50","7688","-45","7136","-124","0","19","0","23","0","?","0","39","24"
"-160","0","-205","1896","-174","5920","-167","8","-164","0","-245","2720","-173","0","-216","8072","-153","16","-185","6336","-158","0","-169","7688","-169","7136","-136","0","19","0","23","0","?","0","40","24"
"-104","0","-114","1896","-175","5920","-165","8","-90","0","-161","2720","-170","0","-167","8072","-169","16","-130","6336","-99","0","-199","7688","-176","7136","-134","0","19","0","23","0","?","0","41","0"
"-101","0","-108","1896","-157","5920","-165","8","-75","0","-145","2720","-164","0","-146","8072","-171","16","-124","6336","-93","0","-162","7688","-126","7136","-129","0","19","0","23","0","?","0","42","16"
"-180","0","-238","1896","-190","5920","-166","8","-176","0","-275","2720","-169","0","-222","8072","-164","16","-202","6336","-202","0","-191","7688","-171","7136","-146","0","19","0","23","0","?","0","43","8"
"-93","0","-156","1896","-183","5920","-164","8","-96","0","-211","2720","-180","0","-148","8072","-171","16","-119","6336","-100","0","-157","7688","-150","7136","-133","0","18","0","23","0","?","0","44","16"
"-9","0","-37","1896","-142","5920","-163","8","-1","0","-79","2720","-169","0","-80","8072","-153","16","-31","6336","12","0","-112","7688","-97","7136","-100","0","18","0","23","0","?","0","45","24"
"-169","0","-189","1896","-141","5920","-165","8","-167","0","-190","2720","-170","0","-222","8072","-178","16","-179","6336","-156","0","-198","7688","-157","7136","-151","0","18","0","23","0","?","0","46","24"
"-261","0","-280","1896","-179","5920","-162","8","-307","0","-264","2720","-170","0","-310","8072","-164","16","-263","6336","-261","0","-290","7688","-213","7136","-178","0","18","0","23","0","?","0","47","24"
"-141","0","-111","1896","-209","5920","-160","8","-214","0","-86","2720","-172","0","-196","8072","-147","16","-139","6336","-126","0","-213","7688","-164","7136","-145","0","18","0","23","0","?","0","48","0"
"-117","0","-53","1896","-190","5920","-165","8","-163","0","-12","2720","-175","0","-118","8072","-171","16","-104","6336","-88","0","-153","7688","-136","7136","-151","0","18","0","23","0","?","0","49","0"
"-164","0","-138","1896","-177","5920","-164","8","-197","0","-104","2720","-166","0","-156","8072","-153","16","-158","6336","-141","0","-202","7688","-182","7136","-152","0","18","0","23","0","?","0","50","16"
"-52","0","-22","1896","-208","5920","-159","8","-82","0","-4","2720","-172","0","-80","8072","-165","16","-62","6336","-29","0","-102","7688","-163","7136","-130","0","18","0","23","0","?","0","51","8"
"-4","0","55","1896","-218","5920","-161","8","-34","0","80","2720","-168","0","-10","8072","-161","16","-1","6336","25","0","-32","7688","-136","7136","-121","0","18","0","23","0","?","0","52","0"
"-153","0","-130","1896","-197","5920","-164","8","-199","0","-103","2720","-165","0","-159","8072","-154","16","-141","6336","-143","0","-167","7688","-190","7136","-151","0","19","0","23","0","?","0","53","16"
"-167","0","-181","1896","-204","5920","-161","8","-228","0","-166","2720","-176","0","-238","8072","-176","16","-180","6336","-191","0","-212","7688","-197","7136","-157","0","19","0","23","0","?","0","54","24"
"-103","0","-89","1896","-208","5920","-167","8","-171","0","-82","2720","-166","0","-161","8072","-155","16","-108","6336","-126","0","-142","7688","-153","7136","-133","0","19","0","23","0","?","0","55","24"
"-280","0","-245","1896","-228","5920","-177","8","-345","0","-250","2720","-171","0","-288","8072","-173","16","-252","6336","-292","0","-251","7688","-240","7136","-181","0","19","0","23","0","?","0","56","0"
"-415","0","-418","1896","-270","5920","-171","8","-477","0","-439","2720","-173","0","-474","8072","-169","16","-388","6336","-452","0","-394","7688","-318","7136","-201","0","20","0","23","0","?","0","57","16"
"-208","0","-216","1896","-237","5920","-161","8","-266","0","-225","2720","-161","0","-274","8072","-148","16","-206","6336","-248","0","-238","7688","-169","7136","-135","0","20","0","23","0","?","0","58","24"
"9","0","56","1896","-176","5920","-164","8","-22","0","73","2720","-171","0","51","8072","-178","16","6","6336","18","0","-16","7688","-23","7136","-95","0","20","0","23","0","?","0","59","8"
"-13","0","24","1896","-154","5920","-164","8","-23","0","36","2720","-175","0","23","8072","-157","16","-14","6336","4","0","-19","7688","-53","7136","-88","0","20","0","23","0","?","0","60","24"
"-81","0","-81","1896","-131","5920","-159","8","-86","0","-84","2720","-176","0","-107","8072","-156","16","-88","6336","-86","0","-73","7688","-107","7136","-108","0","21","0","23","0","?","0","61","8"
"-91","0","-88","1896","-136","5920","-162","8","-118","0","-99","2720","-170","0","-117","8072","-164","16","-93","6336","-88","0","-83","7688","-130","7136","-126","0","21","0","23","0","?","0","62","16"
"-106","0","-89","1896","-188","5920","-169","8","-149","0","-112","2720","-165","0","-175","8072","-153","16","-94","6336","-90","0","-123","7688","-149","7136","-123","0","21","0","23","0","?","0","63","24"
"-168","640","-132","1896","-216","5920","-169","8","-188","0","-157","2720","-178","0","-254","8072","-173","16","-141","6336","-147","0","-178","7688","-160","7136","-141","0","21","0","23","0","?","0","63","24"
"-258","640","-241","1896","-188","5920","-163","8","-287","0","-257","2720","-170","0","-275","8072","-157","16","-232","6336","-256","0","-281","7688","-206","7136","-152","4432","22","0","23","0","?","0","63","24"
"-248","640","-264","1896","-169","5920","-164","8","-295","0","-271","2720","-167","0","-227","8072","-166","16","-246","6336","-267","2112","-302","7688","-220","7136","-150","4432","22","0","23","0","?","0","63","24"
"-160","640","-155","1896","-240","5920","-171","8","-191","2888","-169","2720","-174","0","-177","8072","-170","16","-159","6336","-165","2112","-196","7688","-199","7136","-130","4432","22","0","23","0","?","0","63","24"
"-146","640","-109","1896","-287","5920","-170","8","-166","2888","-143","2720","-173","24","-168","8072","-147","16","-124","6336","-138","2112","-178","7688","-217","7136","-111","4432","22","0","23","0","?","0","63","24"
"-157","640","-127","1896","-204","6016","-163","8","-170","2888","-152","2720","-177","24","-184","8072","-175","16","-133","6336","-150","2112","-195","7688","-200","7136","-129","4432","22","0","23","0","?","0","63","24"
"-81","640","-69","1896","-134","6016","-161","8","-85","2888","-77","2720","-165","24","-200","8072","-163","16","-66","6336","-67","2112","-125","7688","-122","7440","-107","4432","22","0","23","0","?","0","63","24"
"-39","640","-20","1896","-167","6016","-164","8","-46","2888","-36","2720","-167","24","-150","8072","-163","16","-29","6336","-19","2112","-91","8104","-103","7440","-93","4432","23","0","24","0","?","0","63","24"
"-70","640","-44","1896","-149","6016","-166","8","-101","2888","-70","2720","-176","24","-71","8088","-180","16","-60","6336","-66","2112","-71","8104","-97","7440","-108","4432","22","0","24","0","?","0","63","24"
"-90","640","-71","1896","-110","6016","-168","0","-135","2888","-89","2720","-168","24","-68","8088","-162","16","-74","6336","-98","2112","-35","8104","-80","7440","-105","4432","22","0","24","0","?","0","63","24"
"-123","640","-96","1896","-173","6016","-167","0","-143","2888","-107","3064","-175","24","-123","8088","-183","16","-110","6336","-119","2112","-123","8104","-121","7440","-124","4432","22","0","23","0","?","0","63","24"
"-184","640","-162","1896","-190","6016","-166","0","-206","2888","-186","3064","-172","24","-202","8088","-173","16","-172","6336","-192","2112","-267","8104","-178","7440","-137","4432","22","0","23","0","?","0","63","24"
"-230","640","-224","2008","-137","6016","-164","0","-274","2888","-279","3064","-174","24","-282","8088","-164","16","-211","6336","-255","2112","-292","8104","-185","7440","-147","4432","22","0","23","0","?","0","63","24"
"-221","640","-222","2008","-207","6016","-164","0","-246","2888","-275","3064","-182","24","-281","8088","-178","16","-205","6352","-225","2112","-256","8104","-194","7440","-145","4432","22","0","23","0","?","0","63","24"
"-237","640","-260","2008","-309","6016","-164","0","-251","2888","-280","3064","-168","24","-300","8088","-161","16","-227","6352","-226","2112","-319","8104","-289","7440","-133","4432","22","0","23","0","?","0","63","24"
"-228","640","-238","2008","-250","6016","-164","0","-241","2888","-252","3064","-172","24","-266","8088","-180","8","-215","6352","-203","2112","-298","8104","-299","7440","-143","4432","22","0","23","0","?","0","63","24"
"-77","640","-41","2000","-189","6016","-160","0","-72","2888","-74","3064","-176","24","-61","8088","-167","8","-65","6352","-40","2112","-90","8104","-150","7440","-99","4432","22","0","24","0","?","0","63","24"
