T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-177.5,-153.0,-147.5,-139.5,-164.25
-0.25,11.5,17.25,2.5,3.5
-177.0,-142.75,-143.25,-122.25,-169.5
-0.5,-41.25,1.25,-1.0,-0.25
-183.25,-102.75,-146.75,-157.0,-168.25
6.0,-50.5,16.0,43.25,3.75
-185.0,-118.5,-157.25,-170.25,-175.75
5.75,-22.0,26.0,54.75,10.5
-184.0,-138.25,-170.25,-175.5,-181.25
5.0,-1.75,43.0,41.5,6.25
-182.5,-132.75,-165.25,-173.5,-173.5
4.0,-5.0,34.25,47.75,-2.0
-179.75,-133.25,-167.5,-163.0,-168.5
1.25,8.25,45.25,46.0,-0.5
-177.5,-127.0,-172.25,-172.25,-172.5
1.25,5.75,41.75,55.5,-2.75
-177.75,-163.25,-201.25,-189.25,-172.0
1.75,39.0,59.5,70.5,2.75
-179.0,-180.75,-196.25,-193.25,-181.25
5.25,38.25,48.25,70.5,5.25
-178.0,-185.5,-201.5,-206.5,-180.0
-0.5,52.75,56.75,77.0,7.5
-178.0,-194.75,-214.25,-213.25,-182.5
-2.25,62.5,61.0,79.75,7.5
-172.0,-210.75,-214.0,-205.5,-175.75
-9.0,95.75,91.75,89.75,5.25
-163.5,-234.5,-242.5,-226.0,-169.25
-9.5,93.75,114.0,105.75,10.0
-167.5,-243.0,-278.75,-255.0,-176.75
-11.25,107.75,170.75,129.0,19.25
-163.5,-229.0,-279.0,-238.75,-182.0
-9.25,87.0,151.0,122.0,25.25
-162.5,-213.5,-275.75,-245.0,-187.25
-15.5,90.25,158.0,128.75,30.75
-155.25,-188.5,-280.0,-266.75,-191.25
-21.25,88.25,155.25,130.5,30.5
-148.75,-169.0,-300.0,-270.0,-182.0
-24.25,102.5,182.75,156.0,22.5
-145.5,-201.25,-321.25,-297.25,-177.25
-32.25,109.25,179.5,160.0,15.5
-140.5,-205.75,-310.75,-293.25,-172.75
-30.25,95.75,179.5,169.75,15.5
-150.25,-234.0,-334.5,-315.25,-178.0
-22.5,101.25,176.5,161.75,21.75
-150.5,-228.5,-308.5,-309.75,-178.75
-23.75,86.75,153.75,130.0,23.5
-153.0,-241.75,-284.25,-261.25,-188.5
-20.5,106.25,174.5,129.75,27.5
-153.0,-251.75,-287.5,-261.25,-184.25
-22.0,98.5,167.5,136.75,24.0
-153.25,-242.0,-300.5,-282.25,-176.75
-23.5,88.0,161.75,147.25,23.75
-152.0,-276.25,-310.0,-282.5,-175.25
-18.75,116.75,158.5,138.5,20.75
-155.75,-310.25,-314.75,-288.0,-177.5
-17.25,139.25,158.75,140.75,27.75
-158.0,-303.75,-315.0,-291.25,-181.25
-11.5,98.75,122.75,127.75,35.25
-167.25,-265.25,-315.75,-279.25,-191.25
-4.75,70.5,130.75,129.0,44.5
-164.0,-236.75,-322.25,-287.0,-192.0
-10.5,55.25,126.25,132.5,45.75
-158.0,-241.75,-306.0,-297.0,-200.5
-15.25,72.25,104.0,126.0,41.0
-155.75,-254.0,-274.0,-280.0,-196.25
-19.25,111.75,107.5,136.75,43.25
-156.75,-298.25,-287.0,-270.25,-196.5
-17.0,128.5,123.5,115.5,40.0
-157.75,-282.5,-259.5,-248.5,-199.75
-14.75,150.75,138.5,97.25,41.5
-157.5,-299.0,-263.75,-237.0,-196.5
-15.75,117.0,97.75,95.25,46.0
-158.5,-293.75,-262.25,-254.75,-194.75
-14.5,120.0,131.0,104.75,48.25
-159.0,-296.75,-289.25,-264.75,-192.75
-18.75,116.75,126.5,106.0,36.25
-157.25,-299.0,-278.0,-262.0,-190.5
-17.75,145.75,129.5,100.5,27.75
-160.25,-334.5,-285.75,-247.75,-181.25
-17.0,195.75,133.0,90.75,27.75
-159.25,-356.0,-284.0,-247.5,-184.0
-13.5,213.5,125.5,97.0,24.0
-162.25,-380.0,-291.25,-251.0,-180.25
-9.0,224.0,144.25,110.5,35.0
-167.25,-388.5,-312.75,-270.0,-185.5
-7.25,222.25,145.25,104.5,31.25
-165.25,-386.75,-295.25,-232.25,-179.0
-11.5,218.5,120.5,89.5,25.25
-160.0,-384.75,-295.0,-252.75,-172.5
-14.25,200.75,100.5,79.25,18.75
-157.0,-368.5,-276.75,-267.75,-169.75
-16.5,191.75,112.0,84.5,17.5
-159.0,-342.0,-260.75,-248.75,-170.75
-16.5,191.25,122.0,87.75,17.75
-160.5,-353.5,-281.75,-260.5,-173.0
-11.0,193.0,124.25,90.75,21.5
-167.25,-342.25,-270.75,-251.75,-180.75
-7.5,204.75,119.25,87.0,40.25
-166.5,-322.5,-261.0,-230.5,-190.0
-7.25,209.75,128.0,81.25,34.25
-164.5,-325.5,-265.25,-224.5,-187.25
-12.25,203.5,97.0,57.25,30.5
-162.75,-330.75,-250.0,-218.25,-182.25
-17.25,226.75,96.25,82.5,28.75
-158.25,-360.75,-275.25,-255.5,-185.0
-15.25,233.25,96.75,89.5,29.75
-163.25,-375.0,-250.75,-246.5,-181.0
-13.25,240.75,82.5,75.0,25.75
-163.0,-395.0,-257.25,-256.25,-182.5
-12.75,241.5,86.5,92.25,29.0
-165.5,-404.5,-242.5,-259.25,-182.75
-11.75,269.5,100.0,106.25,30.75
-163.5,-406.0,-245.25,-247.5,-182.5
-15.25,268.5,95.25,84.0,26.5
-161.25,-427.75,-266.0,-243.25,-179.25
-21.0,271.25,113.0,87.5,18.5
-158.0,-403.5,-265.5,-231.75,-174.0
-23.5,229.0,86.75,59.75,14.0
-151.5,-380.25,-241.0,-204.25,-161.5
-27.0,226.5,74.0,37.5,13.75
-151.75,-404.5,-234.0,-203.5,-159.25
-24.75,225.75,50.75,23.5,22.0
-153.5,-398.25,-235.5,-204.5,-169.75
-24.0,212.5,51.25,27.75,24.25
-152.5,-398.0,-243.25,-217.75,-172.0
-27.75,208.5,41.25,17.25,18.25
-143.75,-382.5,-210.0,-182.75,-168.0
-36.5,218.25,47.75,12.75,14.0
-143.25,-399.0,-207.75,-180.25,-164.25
-34.5,229.5,43.5,12.0,9.5
