F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-88064,-202800,-821696,-3960,-181056,-734320,-2784,-899600,-1256,-1217064,-234416,-1076480,-1231320,-246480,22,23,,1839264
-89440,-176800,-755072,-3936,-157440,-689376,-3040,-1065680,-1416,-1186056,-240240,-1103392,-1159824,-268320,22,23,,1839264
-91504,-173680,-532992,-3864,-162688,-689376,-2784,-1245600,-2672,-1139544,-260624,-962104,-1064496,-252720,22,23,,1839264
-103200,-213200,-560752,-4008,-220416,-756176,-2752,-1024160,-2656,-1217064,-291200,-827544,-977112,-257400,22,23,,128
-105264,-209040,-760624,-4128,-244032,-756176,-2864,-1010320,-2784,-1209312,-294112,-881368,-1016832,-258960,22,23,,0
-91504,-180960,-749520,-3912,-241408,-713424,-2752,-1134880,-2640,-1124040,-289744,-827544,-1080384,-234000,22,23,,0
-91504,-192400,-766176,-4104,-209920,-718768,-2992,-954960,-2864,-1170552,-285376,-814088,-1128048,-268320,22,23,,304
-92880,-186160,-777280,-4392,-133824,-659984,-2768,-816560,-2576,-1108536,-257712,-982288,-1128048,-241800,22,23,,320
-88064,-161200,-549648,-4176,-170560,-635936,-2704,-816560,-2592,-961248,-259168,-935192,-953280,-240240,22,23,,0
-78432,-170560,-455264,-3864,-257152,-737472,-2912,-781960,-2800,-899232,-281008,-766992,-857952,-269880,22,23,,0
-70176,-185120,-660688,-3888,-209920,-708080,-2784,-927280,-2496,-969000,-272272,-807360,-985056,-248040,22,23,,0
-87376,-182000,-688448,-4128,-178432,-561120,-2944,-1107200,-2736,-1170552,-291200,-881368,-1008888,-277680,22,23,,192
-102512,-174720,-549648,-4296,-265024,-537072,-2832,-1204080,-2720,-1224816,-329056,-955376,-889728,-274560,22,23,,0
-99072,-172640,-705104,-4224,-270272,-558448,-2832,-1473960,-2720,-1193808,-314496,-1076480,-1008888,-258960,22,23,,208
-109392,-188240,-810592,-4056,-209920,-547760,-2960,-1473960,-2832,-1302336,-298480,-989016,-1064496,-273000,22,23,,432
-125216,-198640,-632928,-3960,-241408,-587840,-2736,-941120,-2464,-1325592,-330512,-800632,-953280,-252720,22,23,,0
-121088,-166400,-755072,-4032,-246656,-579824,-2960,-768120,-2768,-1193808,-343616,-874640,-1239264,-260520,22,23,,0
-112832,-151840,-988256,-4176,-230912,-529056,-3008,-1134880,-2704,-1186056,-329056,-1063024,-1533192,-246480,22,23,,720
-125904,-191360,-777280,-4128,-278144,-577152,-2912,-1121040,-2592,-1379856,-340704,-1036112,-1302816,-263640,22,23,,0
-128656,-201760,-555200,-3840,-265024,-598528,-2880,-961880,-2816,-1364352,-345072,-941920,-945336,-280800,22,23,,256
-113520,-160160,-705104,-3744,-228288,-550432,-2656,-1273280,-2496,-1108536,-326144,-1009200,-897672,-230880,22,23,,792
-119024,-147680,-738416,-4128,-259776,-545088,-2944,-1300960,-2768,-1124040,-327600,-995744,-945336,-258960,22,23,,272
-123840,-176800,-521888,-4392,-275520,-571808,-2944,-809640,-2784,-1263576,-318864,-793904,-850008,-271440,22,23,,280
-116960,-189280,-638480,-4128,-238784,-571808,-2800,-858080,-2560,-1224816,-307216,-719896,-921504,-265200,22,23,,0
-121088,-179920,-866112,-3840,-230912,-577152,-2944,-1384000,-2784,-1178304,-320320,-921736,-1040664,-288600,22,23,,296
-128656,-185120,-771728,-3936,-249280,-614560,-2720,-1335560,-2528,-1240320,-327600,-1009200,-937392,-254280,22,23,,608
-134848,-205920,-721760,-4080,-257152,-614560,-2880,-954960,-2704,-1372104,-329056,-921736,-961224,-266760,22,23,,936
-136224,-199680,-688448,-3960,-236160,-545088,-2912,-1003400,-2720,-1302336,-324688,-948648,-1096272,-263640,22,23,,640
-139664,-165360,-538544,-3888,-228288,-491648,-2816,-1038000,-2560,-1232568,-330512,-915008,-961224,-248040,22,23,,984
-150672,-152880,-649584,-4056,-265024,-505008,-3024,-809640,-2816,-1426368,-362544,-820816,-937392,-282360,22,23,,672
-134160,-162240,-793936,-4224,-236160,-513024,-2800,-858080,-2640,-1372104,-361088,-847728,-953280,-248040,22,23,,0
-117648,-153920,-688448,-4152,-165312,-507680,-2832,-1183320,-2848,-1116288,-339248,-948648,-818232,-252720,22,23,,352
-136912,-157040,-649584,-3912,-220416,-563792,-2848,-1273280,-2704,-1193808,-350896,-1009200,-929448,-273000,22,23,,1080
-149984,-185120,-705104,-3912,-304384,-598528,-2784,-1127960,-2384,-1480632,-375648,-955376,-1008888,-254280,22,23,,368
-150672,-193440,-644032,-4008,-286016,-563792,-2992,-1003400,-2768,-1596912,-372736,-921736,-881784,-273000,22,23,,376
-147920,-183040,-760624,-3960,-241408,-563792,-2784,-1031080,-2544,-1527144,-362544,-995744,-1016832,-265200,22,23,,0
-135536,-163280,-1021568,-4104,-217792,-553104,-2928,-1141800,-2672,-1410864,-362544,-1002472,-1207488,-276120,22,23,,0
-135536,-141440,-832800,-4272,-228288,-483632,-2944,-1065680,-2880,-1372104,-371280,-834272,-1024776,-279240,22,24,,1200
-143792,-143520,-582960,-4248,-262400,-472944,-2672,-816560,-2608,-1503888,-378560,-753536,-905616,-257400,22,24,,816
-139664,-159120,-793936,-4032,-251904,-526384,-2912,-851160,-2784,-1589160,-369824,-834272,-1120104,-279240,22,23,,1248
-134848,-166400,-821696,-3864,-267648,-553104,-2880,-1065680,-2544,-1457376,-366912,-814088,-1056552,-266760,22,23,,1272
-136912,-156000,-727312,-4152,-286016,-523712,-2896,-934200,-2624,-1372104,-359632,-800632,-953280,-276120,22,23,,0
-115584,-130000,-971600,-4320,-178432,-454240,-2928,-761200,-2880,-1217064,-310128,-854456,-1120104,-268320,22,24,,1320
-93568,-112320,-949392,-3936,-157440,-432864,-2656,-961880,-2640,-1031016,-288288,-820816,-1064496,-232440,22,24,,896
-114208,-122720,-538544,-4008,-309632,-475616,-2784,-961880,-2848,-1093032,-326144,-787176,-921504,-279240,22,24,,0
-123840,-130000,-544096,-4296,-320128,-496992,-2768,-809640,-2656,-1139544,-327600,-874640,-1032720,-271440,22,24,,928
-110080,-128960,-843904,-4104,-212544,-480960,-2896,-948040,-2672,-1100784,-298480,-941920,-1096272,-265200,22,24,,944
-105264,-135200,-793936,-4056,-225664,-488976,-2976,-1093360,-2848,-1085280,-291200,-921736,-945336,-279240,22,24,,480
-97008,-132080,-682896,-4176,-254528,-502336,-2688,-1051840,-2608,-1054272,-289744,-901552,-842064,-244920,22,24,,976
-99072,-130000,-777280,-4200,-236160,-483632,-2896,-954960,-2848,-1085280,-301392,-935192,-905616,-276120,22,24,,992
-106640,-118560,-755072,-4104,-246656,-446224,-2816,-899600,-2640,-1000008,-297024,-908280,-937392,-276120,22,24,,1008
-131976,-90480,-682896,-3984,-223040,-395456,-2848,-920360,-2528,-837216,-264992,-841000,-977112,-266760,22,24,,1008
-117936,-93600,-743968,-3984,-167936,-379424,-3008,-948040,-2784,-875976,-254800,-827544,-1088328,-263296,22,24,,1008
-118872,-124800,-810592,-4056,-146944,-432864,-2672,-892680,-2592,-992256,-264984,-834272,-993000,-231880,22,24,,1008
-129168,-130000,-749520,-4056,-125952,-435536,-2832,-858080,-2912,-1031016,-260592,-834272,-826176,-257312,22,24,,1008
-134784,-118560,-577408,-4056,-115456,-392784,-2912,-761200,-2752,-976752,-257664,-793904,-810288,-258808,22,24,,1008
-147888,-130000,-510048,-4152,-165312,-440880,-2816,-622800,-2496,-992256,-276696,-814088,-977112,-254320,22,24,,1008
-152568,-137280,-659736,-4176,-175808,-467600,-2848,-795800,-2752,-1085280,-272304,-867912,-1097376,-267784,22,24,,1008
-145080,-131040,-731808,-4152,-146944,-419504,-2656,-1003400,-2560,-1093032,-257664,-905472,-986048,-240856,22,24,,1008
-167544,-133120,-681912,-4152,-207296,-440880,-2960,-864000,-2816,-1170552,-301584,-877824,-954240,-272272,22,24,,1008
-179712,-138320,-742896,-4104,-259776,-478288,-2944,-794880,-2752,-1155048,-335256,-843264,-1025808,-267784,22,24,,1008
-147888,-125840,-803880,-4104,-207296,-418248,-2656,-877824,-2560,-937992,-297192,-794880,-914480,-237864,22,24,,1008
-150696,-111280,-659736,-3936,-236160,-391608,-2848,-822528,-2880,-953496,-282552,-857088,-811104,-273768,22,24,,1008
-195624,-179024,-587664,-3768,-362112,-487512,-2832,-857088,-2672,-1217064,-336720,-1112832,-962192,-269280,22,24,,1008
-198432,-211088,-848232,-4128,-343744,-538128,-2944,-1168128,-2720,-1288160,-361608,-1223424,-1129184,-270776,22,24,,1008
-151632,-156312,-931392,-4320,-230912,-459584,-2848,-1375488,-2704,-1024320,-308904,-1085184,-1033760,-255816,22,24,,1008
-145080,-117568,-676368,-4080,-220416,-403472,-2656,-1071360,-1296,-923440,-273768,-1022976,-978096,-243848,22,24,,1008
-181584,-161376,-615384,-3960,-262400,-446224,-2848,-739584,-1416,-1117440,-298656,-1078272,-1113280,-275264,22,24,,1008
-186264,-182368,-792792,-4008,-259776,-483632,-2768,-850176,-1280,-1156240,-314760,-1112832,-1145088,-252824,22,24,,627264
-167544,-154816,-842688,-4008,-212544,-456912,-2912,-857088,-1376,-1078640,-291336,-1022976,-1001952,-255816,22,24,,219104
-157248,-160064,-687456,-3888,-191552,-470272,-2880,-739584,-1416,-1109680,-273768,-905472,-834960,-257312,22,24,,1992
-156312,-174496,-687456,-3912,-230912,-507680,-2704,-988416,-1288,-1148480,-301584,-877824,-795200,-246840,22,24,,110208
-163800,-162688,-948024,-4128,-254528,-456912,-2960,-1126656,-1456,-1125200,-326472,-953856,-1009904,-285736,22,24,,658920
-170352,-161376,-942480,-4320,-246656,-408816,-2768,-884736,-1296,-1070880,-311832,-1043712,-1097376,-260304,22,24,,229792
-168480,-166624,-753984,-4104,-238784,-443552,-2768,-850176,-1280,-1039840,-288408,-988416,-938336,-257312,22,24,,1392
-147888,-152192,-753984,-3864,-194176,-451568,-2848,-1057536,-1368,-931200,-262056,-794880,-858816,-264792,22,24,,115456
-129168,-146944,-859320,-4080,-165312,-406144,-2736,-1133568,-1264,-923440,-248880,-829440,-954240,-243848,22,24,,689216
-147888,-174496,-842688,-4128,-228288,-395456,-2944,-967680,-1448,-1109680,-266448,-1126656,-1009904,-276760,22,24,,239760
-161928,-181056,-748440,-3864,-272896,-427520,-2736,-850176,-1376,-1094160,-276696,-1147392,-930384,-266288,21,24,,2184
-146952,-139072,-820512,-4008,-209920,-411488,-2704,-988416,-1336,-938960,-256200,-988416,-1009904,-266288,21,24,,121440
-135720,-112832,-914760,-4128,-149568,-363392,-2896,-1043712,-1376,-900160,-235704,-1002240,-1145088,-266288,21,24,,720192
-140400,-146944,-842688,-3912,-178432,-371408,-2720,-857088,-1288,-970000,-244488,-988416,-1025808,-236368,22,24,,251920
-177840,-191552,-792792,-4056,-251904,-430192,-2784,-946944,-1464,-1210560,-282552,-1064448,-1017856,-275264,21,24,,0
-194688,-207296,-887040,-4224,-262400,-464928,-2656,-1223424,-1384,-1342480,-316224,-1181952,-1137136,-267784,22,24,,126720
-159120,-162688,-931392,-4008,-175808,-400800,-2752,-1029888,-1352,-1094160,-303048,-1016064,-1041712,-248336,22,24,,751944
-131976,-97088,-798336,-3936,-128576,-336672,-2928,-732672,-1408,-830320,-259128,-877824,-946288,-255816,22,24,,261072
-142272,-118080,-731808,-4056,-170560,-406144,-2752,-898560,-1272,-923440,-247416,-1036800,-1025808,-243848,22,24,,2376
-165672,-195488,-792792,-4128,-236160,-518368,-2992,-1009152,-1432,-1226080,-284016,-1071360,-1105328,-284240,22,24,,132000
-168480,-220416,-831600,-4128,-254528,-531728,-2832,-933120,-1368,-1241600,-297192,-981504,-1145088,-275264,22,24,,782144
-154440,-181056,-925848,-4104,-204672,-480960,-2736,-1050624,-1312,-1070880,-267912,-1064448,-1168944,-258808,22,23,,271728
-129168,-149568,-942480,-3936,-146944,-446224,-3024,-1064448,-1448,-1016560,-229848,-1161216,-1065568,-273768,22,23,,1648
-111384,-150880,-842688,-3864,-139072,-424848,-2832,-877824,-1280,-954480,-210816,-1147392,-954240,-239360,22,23,,136448
-135720,-162688,-920304,-4152,-178432,-416832,-2880,-933120,-1392,-907920,-245952,-1175040,-1145088,-255816,22,23,,813120
-153504,-164000,-981288,-4128,-196800,-419504,-2848,-960768,-1440,-884640,-275232,-1105920,-1240512,-258808,22,23,,281536
-135720,-156128,-864864,-3888,-204672,-403472,-2848,-808704,-1368,-907920,-256200,-967680,-986048,-251328,22,23,,0
-138528,-157440,-820512,-4104,-225664,-408816,-2960,-953856,-1424,-1008800,-243024,-988416,-874720,-281248,22,23,,143424
-153504,-160064,-864864,-4224,-207296,-459584,-2688,-1133568,-1264,-1016560,-241560,-1043712,-922432,-260304,22,23,,844096
-146016,-160064,-942480,-4032,-181056,-483632,-2816,-1036800,-1376,-1001040,-231312,-1057536,-978096,-260304,22,23,,293040
-125424,-158752,-1025640,-3912,-204672,-454240,-2832,-1016064,-1392,-970000,-210816,-1092096,-1089424,-246840,22,24,,2664
-123552,-150880,-1014552,-3936,-241408,-424848,-2816,-912384,-1328,-907920,-219600,-1036800,-1009904,-239360,22,24,,147840
-147888,-150880,-887040,-3984,-236160,-430192,-3024,-511488,-1448,-954480,-241560,-857088,-803152,-276760,22,24,,877784
-142272,-152192,-936936,-4080,-217792,-408816,-2752,-573696,-1288,-1001040,-216672,-767232,-858816,-245344,22,24,,302784
-117000,-144320,-1186416,-4008,-246656,-414160,-2880,-1085184,-1352,-993280,-199104,-829440,-1041712,-242352,22,24,,920
-126360,-169248,-1086624,-3816,-265024,-510352,-2928,-1009152,-1368,-1047600,-223992,-926208,-978096,-255816,22,24,,153120
-150696,-224352,-848232,-4008,-202048,-574480,-2688,-711936,-1272,-1195040,-225456,-1016064,-938336,-251328,22,24,,907920
-141336,-226976,-1020096,-4080,-57728,-542416,-2864,-1016064,-1424,-1171760,-193248,-1071360,-1081472,-261800,22,24,,313408
-112320,-196800,-1130976,-3864,55104,-569136,-2720,-1216512,-1360,-985520,-180072,-1078272,-1153040,-224400,22,24,,2856
-118872,-205984,-975744,-3936,78720,-659984,-2768,-891648,-1432,-1032080,-171288,-1002240,-1160992,-243848,22,24,,159360
-122616,-209920,-981288,-4032,86592,-635936,-2832,-767232,-1416,-1039840,-125904,-787968,-1033760,-246840,22,23,,938960
-98280,-186304,-1081080,-4008,89216,-582496,-2704,-905472,-1264,-845840,-112728,-760320,-834960,-210936,22,23,,326960
-114192,-215168,-948024,-4008,23616,-646624,-2896,-1029888,-1464,-970000,-161040,-1002240,-874720,-248336,22,23,,1968
-146952,-255840,-975744,-3912,-81344,-713424,-2640,-1188864,-1376,-1218320,-200568,-1002240,-1081472,-246840,22,23,,162688
-145080,-217792,-1325016,-3960,-81344,-662656,-2720,-1188864,-1376,-1195040,-196176,-905472,-1272320,-252824,22,23,,968000
-139464,-179744,-1252944,-4224,-47232,-627920,-2928,-974592,-1432,-1132960,-184464,-1133568,-1264368,-261800,22,23,,335664
-155376,-226976,-875952,-4224,-107584,-705408,-2768,-912384,-1248,-1233840,-219600,-1313280,-1113280,-231880,22,23,,0
-162864,-254528,-920304,-3888,-139072,-734800,-2912,-1050624,-1376,-1288160,-248880,-1202688,-1097376,-251328,22,23,,316064
-138336,-196800,-1169784,-3840,-83968,-662656,-2816,-1161216,-1328,-985520,-187392,-1002240,-1121232,-233376,22,23,,316064
-102704,-178432,-1203048,-4056,-57728,-633264,-2944,-1009152,-1320,-807040,-127368,-760320,-1105328,-245856,22,23,,316064
-125760,-230912,-1042272,-3960,-83968,-686704,-3024,-781056,-1416,-962240,-159280,-601344,-978096,-263192,22,23,,316064
-148816,-245344,-881496,-3768,-84736,-700064,-2656,-787968,-1304,-1001040,-201272,-622080,-803152,-237976,22,24,,316064
-147768,-187616,-1025640,-4032,-68848,-617232,-2816,-829440,-1416,-900160,-194032,-677376,-874720,-256888,22,24,,316064
-143576,-152192,-1225224,-4176,-84736,-553104,-2752,-808704,-1336,-907920,-189688,-705024,-978096,-242704,22,24,,316064
-158248,-181056,-1031184,-3984,-113864,-590512,-2736,-877824,-1352,-1117440,-221544,-774144,-825344,-252160,22,23,,316064
-161392,-204672,-864864,-4104,-111216,-619904,-2880,-836352,-1464,-1218320,-231680,-865392,-809472,-274224,22,24,,316064
-128904,-183680,-1069992,-4248,-63552,-585168,-2656,-838080,-1288,-977760,-205616,-858240,-976128,-228520,22,23,,316064
-127856,-177120,-1230768,-3984,-66200,-593184,-2848,-1096488,-1424,-900160,-196928,-851088,-992000,-250584,22,24,,316064
-155104,-212544,-1081080,-3768,-142992,-681360,-2832,-1124424,-1368,-1148480,-208512,-929760,-872960,-256888,22,23,,316064
-166632,-238784,-942480,-3984,-185360,-713424,-2720,-907920,-3792,-1303680,-215752,-1022736,-865024,-252160,22,24,,316064
-155104,-250120,-1058904,-4320,-129752,-635936,-2848,-900936,-4272,-1164000,-185344,-951216,-1039616,-269496,22,24,,316064
-119472,-217560,-1275120,-4296,-47664,-555776,-2656,-984744,-4056,-901088,-130320,-872544,-1087232,-228520,22,24,,316064
-117376,-205720,-1275120,-3984,-71496,-553104,-2752,-838080,-4272,-885552,-134664,-894000,-968192,-250584,22,24,,316064
-144624,-222000,-981288,-3768,-169472,-609216,-2736,-810144,-2704,-1002072,-183896,-851088,-809472,-272648,22,24,,316064
-144624,-233840,-881496,-3936,-150936,-611888,-2768,-1040616,-2544,-1040912,-181000,-886848,-785664,-256888,22,24,,128
-119472,-210160,-1036728,-4008,-31776,-513024,-2912,-1061568,-2864,-1002072,-125976,-986976,-928512,-247432,22,24,,408
-105848,-189440,-1086624,-3864,-63552,-475616,-2752,-789192,-2608,-885552,-123080,-808176,-960256,-219064,22,24,,432
-138336,-229400,-1142064,-4056,-174768,-577152,-2960,-551736,-2768,-1025376,-195480,-686592,-1015808,-263192,22,24,,0
-188640,-282680,-1214136,-4056,-140344,-670672,-2800,-698400,-2800,-1305024,-240368,-944064,-1118976,-264768,22,24,,480
-199120,-293040,-1164240,-3864,-76792,-662656,-2624,-831096,-2592,-1374936,-218648,-1108560,-1118976,-233248,22,24,,504
-163488,-263440,-1208592,-4152,-87384,-606544,-2864,-621576,-2816,-1250648,-188240,-829632,-1095168,-267920,22,24,,352
-138336,-236800,-1302840,-4320,-113864,-611888,-2640,-593640,-2592,-1141896,-189688,-607920,-1047552,-245856,22,24,,0
-172920,-256040,-1214136,-4056,-140344,-654640,-2816,-782208,-2752,-1204040,-220096,-815328,-1063424,-249008,22,24,,384
-198072,-288600,-1136520,-3816,-161528,-654640,-3024,-817128,-2800,-1204040,-215752,-1015584,-1111040,-264768,22,23,,0
-161392,-257520,-1225224,-3912,-127104,-593184,-2720,-691416,-2624,-1048680,-169416,-936912,-1118976,-247432,22,23,,624
-133096,-201280,-1203048,-4200,-68848,-521040,-2736,-509832,-2896,-901088,-146248,-801024,-1031680,-252160,22,23,,432
-137288,-202760,-1009008,-4248,-63552,-491648,-2656,-286344,-2544,-939928,-140456,-793872,-896768,-217488,22,23,,672
-160344,-223480,-1020096,-4080,-100624,-499664,-2816,-321264,-2592,-1126360,-149144,-994128,-992000,-236400,22,23,,696
-180256,-216080,-1214136,-4176,-108568,-510352,-2832,-719352,-2768,-1110824,-167968,-1201536,-1269760,-260040,22,23,,0
-170824,-216080,-1186416,-4320,-82088,-521040,-2576,-928872,-2560,-994304,-163624,-1151472,-1269760,-241128,22,23,,0
-163488,-260480,-942480,-4224,-84736,-569136,-2832,-607608,-2880,-1071984,-165072,-915456,-976128,-267920,22,23,,256
-169776,-298960,-809424,-4032,-111216,-643952,-2752,-230472,-2608,-1172968,-182448,-779568,-793600,-237976,22,23,,0
-170824,-288600,-1003464,-4008,-95328,-617232,-2704,-342216,-2576,-1258416,-191136,-822480,-896768,-236400,22,23,,816
-181304,-259000,-1130976,-4176,-82088,-555776,-2784,-677448,-2832,-1374936,-196928,-836784,-952320,-263192,22,24,,0
-189688,-236800,-1020096,-4128,-90032,-566464,-2608,-642528,-2576,-1398240,-207064,-843936,-992000,-245856,22,24,,864
-170824,-227920,-1147608,-4056,-63552,-566464,-2832,-495864,-2800,-1336096,-172312,-958368,-1230080,-263192,22,24,,296
-146720,-244200,-1275120,-4152,-58256,-561120,-2736,-719352,-2640,-1289488,-134664,-1058496,-1230080,-233248,22,23,,304
-173968,-276760,-1092168,-4224,-156232,-614560,-2688,-900936,-2640,-1367168,-176656,-1101408,-1031680,-233248,22,23,,624
-212744,-288600,-898128,-4152,-248912,-670672,-2816,-712368,-2816,-1483688,-236024,-1072800,-1055488,-266344,22,23,,960
-204360,-294520,-970200,-4152,-206544,-673344,-2720,-558720,-2560,-1382704,-236024,-951216,-1063424,-242704,22,24,,656
-189688,-296000,-1147608,-4272,-166824,-643952,-3024,-614592,-2832,-1250648,-221544,-965520,-1031680,-258464,22,23,,672
-180256,-276760,-1175328,-4200,-227728,-601200,-2816,-684432,-2656,-1188504,-218648,-1065648,-1206272,-252160,22,23,,0
-170824,-244200,-1097712,-4128,-246264,-558448,-2624,-768240,-2624,-1141896,-214304,-979824,-1293568,-247432,22,23,,352
-169776,-205720,-964656,-3960,-174768,-526384,-2816,-796176,-3008,-1079752,-191136,-872544,-1015808,-263192,22,23,,0
-147768,-183520,-909216,-3864,-121808,-488976,-2704,-593640,-2720,-932160,-160728,-922608,-865024,-228520,22,23,,1104
-138336,-193880,-992376,-4080,-142992,-462256,-2912,-537768,-2800,-939928,-154936,-979824,-1055488,-252160,22,23,,1128
-140432,-219040,-1069992,-4104,-129752,-483632,-2784,-761256,-2704,-1009840,-150592,-958368,-1007872,-249008,22,23,,384
-147768,-247160,-1031184,-3984,-95328,-563792,-2672,-831096,-2704,-1056448,-172312,-858240,-817408,-234824,22,23,,392
-177112,-276760,-964656,-4128,-124456,-622576,-2832,-698400,-2976,-1235112,-224440,-872544,-984064,-264768,22,23,,0
-170824,-264920,-1092168,-4128,-161528,-582496,-2640,-782208,-2560,-1297256,-218648,-1065648,-1111040,-242704,22,23,,0
-155104,-229400,-1158696,-4080,-188008,-537072,-2832,-1005696,-2720,-1165200,-185344,-1115712,-1055488,-255312,22,23,,1248
-177112,-254560,-914760,-4176,-248912,-569136,-2896,-949824,-2784,-1157432,-191136,-1037040,-1142784,-252160,22,23,,0
-187592,-290080,-842688,-4176,-275392,-595856,-2864,-852048,-2656,-1297256,-204168,-1087104,-1238016,-244280,22,23,,0
-172920,-278240,-1064448,-3912,-246264,-593184,-2960,-1054584,-2848,-1351632,-207064,-1194384,-1182464,-272648,21,23,,1320
-189688,-267880,-1092168,-3792,-285984,-582496,-2720,-1201248,-2496,-1343864,-237472,-1294512,-1158656,-242704,21,23,,896
-209600,-273800,-1014552,-4056,-315112,-585168,-2848,-935856,-2640,-1343864,-257744,-1208688,-1261824,-255312,21,23,,456
-163488,-242720,-1108800,-4272,-243616,-585168,-2832,-726336,-2768,-1134128,-231680,-994128,-1285632,-253736,21,24,,928
-132048,-193880,-1164240,-4224,-238320,-531728,-2656,-845064,-2624,-986536,-208512,-1022736,-1166592,-233248,21,24,,472
-157200,-180560,-1075536,-3984,-312464,-430192,-2912,-893952,-2880,-1040912,-201272,-1087104,-1095168,-266344,21,24,,960
-147768,-183520,-1020096,-3864,-331000,-398128,-2720,-789192,-2576,-947696,-175208,-901152,-1118976,-237976,22,24,,1464
-121568,-177600,-1075536,-4008,-296576,-414160,-2672,-838080,-2720,-823408,-154936,-836784,-1222144,-236400,21,24,,992
-139384,-174640,-1092168,-4248,-315112,-411488,-2768,-1033632,-2816,-807872,-170864,-951216,-1261824,-249008,21,24,,504
-162024,-201280,-1086624,-4200,-370720,-478288,-2768,-1152360,-2528,-854480,-215752,-1079952,-1325312,-242704,21,24,,504
-160992,-217560,-1225224,-3936,-346888,-555776,-2976,-1026648,-2816,-1033144,-234576,-1258752,-1555456,-264992,22,24,,504
-150672,-227920,-1225224,-3864,-280688,-526384,-2672,-859032,-2640,-1118592,-212576,-1180080,-1571328,-228928,22,23,,504
-168216,-260480,-1047816,-4056,-308880,-510352,-2736,-921888,-2736,-1110824,-221312,-908304,-1253888,-238336,22,23,,504
-185760,-261960,-942480,-4008,-388080,-555776,-2976,-1061568,-2848,-1134128,-257712,-944064,-1031680,-266560,22,23,,504
-158928,-224960,-938288,-3888,-393360,-569136,-2768,-1131408,-2496,-1056448,-238784,-1051344,-1031680,-244608,21,23,,504
-138288,-232360,-1021568,-3960,-364320,-542416,-2864,-1152360,-2768,-1002072,-193648,-922608,-1065568,-266560,22,23,,504
-142416,-264920,-1049328,-3936,-409200,-561120,-2704,-984744,-2720,-986536,-186368,-814416,-1041712,-257152,22,23,,504
-143448,-242720,-927184,-3960,-446160,-569136,-2752,-874000,-2752,-947696,-200928,-857280,-1065568,-261856,22,23,,504
-138288,-219040,-838352,-1344,-382800,-531728,-2896,-1006848,-2848,-916624,-193648,-850136,-1105328,-266560,22,23,,504
-127968,-219040,-1032672,-1320,-316800,-491648,-2640,-985872,-2512,-870016,-165984,-721544,-1033760,-227360,22,23,,504
-127968,-189440,-1160368,-1328,-311520,-440880,-2816,-922944,-1384,-745728,-151424,-707256,-978096,-254016,22,23,,504
-125904,-168720,-977152,-1320,-285120,-403472,-2768,-1230592,-1352,-644744,-148512,-857280,-1009904,-249312,22,23,,504
-118680,-183520,-855008,-1312,-227040,-398128,-2736,-1216608,-1344,-706888,-152880,-864424,-1057616,-241472,21,23,,504
-120744,-190920,-843904,-1416,-221760,-408816,-2896,-783104,-1424,-761264,-154336,-721544,-1033760,-258720,22,23,,504
-120744,-186480,-927184,-1416,-250800,-422176,-2704,-839040,0,-753496,-151424,-785840,-1081472,-233632,22,24,,504
-122808,-178560,-1104848,-1336,-258720,-408816,-2832,-1125712,0,-862248,-145600,-935864,-1192800,-255584,21,24,,504
-115584,-165168,-1049328,-1352,-258720,-368736,-2736,-1146688,0,-807872,-125216,-850136,-1049664,-247744,21,24,,627264
-94944,-172608,-838352,-1376,-253440,-368736,-2720,-1048800,0,-644744,-113568,-742976,-787248,-241472,22,24,,218448
-85656,-184512,-816144,-1296,-245520,-403472,-2912,-964896,0,-675816,-120848,-900144,-930384,-260288,22,24,,1992
-102168,-175584,-949392,-1288,-271920,-408816,-2656,-992864,0,-745728,-151424,-1028736,-1200752,-232064,22,24,,124320
-126936,-168144,-1121504,-1424,-264000,-390112,-2816,-957904,0,-753496,-186368,-900144,-1192800,-254016,21,23,,659600
-117648,-172608,-1154816,-1440,-203280,-392784,-2896,-915952,0,-706888,-157248,-828704,-1097376,-243040,22,23,,229792
-115584,-184512,-943840,-1336,-211200,-414160,-2848,-1146688,0,-730192,-129584,-1043024,-1137136,-228928,21,23,,696
-138288,-184512,-832800,-1296,-242880,-384768,-2896,-1356448,0,-792336,-160160,-1128752,-1176896,-252448,22,23,,129536
-120744,-166656,-910528,-1296,-182160,-320640,-2624,-1111728,0,-730192,-152880,-964440,-1033760,-216384,21,23,,690640
-119712,-168144,-954944,-1344,-158400,-325984,-2848,-804080,0,-823408,-147056,-935864,-978096,-238336,22,23,,239760
-152736,-191952,-966048,-1384,-250800,-374080,-2944,-1034816,0,-971000,-192192,-935864,-1105328,-252448,22,23,,728
-145512,-190464,-993808,-1376,-295680,-382096,-2768,-1419376,0,-932160,-195104,-921576,-1192800,-227360,22,23,,136896
