F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-218240,-275264,-713856,-2768,-571032,-336960,-2784,-859584,-147352,-1451360,-159936,-1227408,-1450080,-2192,0,0,,355632
-237088,-305184,-802560,-2688,-595752,-367208,-2864,-1120944,-150968,-1624320,-180320,-1409496,-1506472,-2224,0,0,,355632
-185504,-269280,-874368,-2640,-526536,-309424,-2816,-1260336,-155904,-1353600,-160720,-1321824,-1482304,-2288,0,0,,355632
-160704,-228888,-882816,-2640,-533952,-287056,-2704,-1033824,-147840,-1112960,-145040,-1274616,-1474248,-2192,0,0,,128
-200384,-263296,-865920,-2608,-615528,-344840,-2896,-958320,-159488,-1368640,-165424,-1416240,-1490360,-2480,0,0,,408
-209312,-308176,-768768,-2640,-610584,-395168,-2624,-1115136,-147840,-1564160,-177184,-1409496,-1442024,-2176,0,0,,144
-191456,-321640,-751872,-2752,-558672,-395168,-2656,-1074480,-145152,-1534080,-169344,-1301592,-1409800,-2160,0,0,,152
-193440,-335104,-899712,-2688,-593280,-383984,-2816,-1097712,-150528,-1556640,-163856,-1369032,-1587032,-2336,0,0,,480
-198400,-323136,-967296,-2576,-625416,-385848,-2704,-1312608,-144256,-1594240,-163072,-1497168,-1691760,-2176,0,0,,336
-185504,-276760,-857472,-2720,-568560,-376528,-2944,-1300992,-152320,-1458880,-158368,-1449960,-1546752,-2304,0,0,,0
-166656,-263296,-785664,-2816,-501816,-342976,-2800,-1202256,-140672,-1293440,-149744,-1348800,-1393688,-2064,0,0,,552
-174592,-279752,-815232,-2704,-524064,-331792,-2672,-1190640,-146944,-1391200,-154448,-1335312,-1393688,-2272,0,0,,576
-194432,-315656,-772992,-2768,-603168,-430584,-2848,-1091904,-157696,-1571680,-173264,-1321824,-1466192,-2528,0,0,,400
-204352,-357544,-751872,-2848,-632832,-512600,-2768,-1022208,-140672,-1654400,-184240,-1362288,-1482304,-2144,0,0,,0
-223200,-312664,-878592,-2672,-605640,-400760,-2864,-1167408,-152320,-1661920,-188160,-1436472,-1635368,-2368,0,0,,216
-221216,-224400,-925056,-2624,-613056,-259096,-2784,-1242912,-146944,-1511520,-185024,-1396008,-1748152,-2304,0,0,,672
-214272,-261800,-861696,-2768,-677328,-281464,-2880,-1074480,-144256,-1541600,-194432,-1321824,-1667592,-2304,0,0,,232
-235104,-339592,-832128,-2688,-709464,-356024,-2992,-1010592,-158592,-1774720,-203840,-1321824,-1587032,-2496,0,0,,720
-228160,-299200,-832128,-2608,-679800,-354160,-2720,-1149984,-149632,-1684480,-198352,-1301592,-1562864,-2160,0,0,,496
-212288,-258808,-857472,-2720,-682272,-331792,-2880,-1167408,-155008,-1549120,-203056,-1254384,-1611200,-2400,0,0,,0
-227168,-288728,-844800,-2640,-714408,-339248,-2816,-1068672,-147840,-1669440,-207760,-1234152,-1587032,-2432,0,0,,792
-228160,-296208,-895488,-2624,-687216,-348568,-2736,-1103520,-147840,-1646880,-195216,-1261128,-1619256,-2368,0,0,,816
-205344,-275264,-996864,-2688,-650136,-316880,-2848,-1179024,-158592,-1443840,-182672,-1308336,-1740096,-2432,0,0,,0
-193440,-254320,-1026432,-2656,-657552,-290784,-2704,-1283568,-146048,-1406240,-181888,-1301592,-1764264,-2128,0,0,,288
-207328,-231880,-1005312,-2656,-650136,-313152,-2944,-1254528,-155008,-1473920,-182672,-1213920,-1635368,-2416,0,0,,296
-207328,-224400,-920832,-2640,-595752,-301968,-2864,-1039632,-150528,-1353600,-159936,-1132992,-1466192,-2352,0,0,,608
-209312,-239360,-912384,-2576,-598224,-279600,-2768,-1086096,-142464,-1353600,-154448,-1180200,-1482304,-2160,0,0,,0
-227168,-260304,-984192,-2656,-642720,-315016,-2976,-1242912,-156800,-1519040,-175616,-1247640,-1619256,-2448,0,0,,960
-213280,-276760,-937728,-2720,-625416,-348568,-2784,-1080288,-149632,-1488960,-170128,-1213920,-1538696,-2240,0,0,,328
-202368,-273768,-870144,-2672,-605640,-329928,-2864,-1010592,-158592,-1458880,-163856,-1234152,-1482304,-2400,0,0,,0
-212288,-245344,-941952,-2688,-625416,-316880,-2896,-1283568,-154112,-1504000,-174832,-1308336,-1691760,-2432,0,0,,688
-207328,-240856,-1022208,-2736,-637776,-341112,-2720,-1324224,-140672,-1473920,-171696,-1342056,-1772320,-2112,0,0,,0
-201376,-296208,-941952,-2624,-618000,-398896,-2864,-1149984,-156800,-1579200,-166208,-1389264,-1619256,-2336,0,0,,1080
-218240,-359040,-891264,-2640,-664968,-469728,-2784,-1167408,-152320,-1789760,-187376,-1449960,-1587032,-2272,0,0,,1104
-247008,-365024,-988416,-2784,-786096,-497688,-2928,-1347456,-154112,-1887520,-212464,-1537632,-1764264,-2480,0,0,,376
-243040,-338096,-992640,-2720,-776208,-482776,-2944,-1434576,-153216,-1834880,-210896,-1578096,-1780376,-2512,0,0,,1152
-222208,-326128,-963072,-2672,-647664,-464136,-2768,-1300992,-146944,-1774720,-206192,-1490424,-1683704,-2256,0,0,,1176
-234112,-329120,-1068672,-2864,-650136,-460408,-2912,-1271952,-159488,-1797280,-208544,-1463448,-1812600,-2512,0,0,,1200
-242048,-321640,-1009536,-2800,-749016,-451088,-2736,-1463616,-143360,-1714560,-191296,-1483680,-1852880,-2320,0,0,,816
