"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-122","1168","-174","1720","-133","5720","-168","8","-28","2768","-215","2608","-191","24","-121","7080","-176","0","-185","7704","-138","1656","-132","7320","-154","7952","-162","1976","22","0","24","0","?","0","16","16"
"-122","1168","-178","1720","-119","5720","-164","8","-29","2768","-210","2608","-183","24","-85","7080","-168","0","-192","7704","-155","1656","-115","7320","-115","7952","-152","1976","22","0","24","0","?","0","17","8"
"-164","1168","-186","1720","-107","5720","-164","8","-56","2768","-217","2608","-175","24","-100","7080","-167","0","-218","7704","-183","1656","-139","7320","-136","7952","-161","1976","22","0","24","0","?","0","18","0"
"-198","1168","-192","1720","-125","5720","-176","8","-73","2768","-222","2608","-183","24","-156","7080","-182","0","-240","7704","-194","1656","-170","7320","-181","7952","-183","1976","22","0","24","0","?","0","19","24"
"-179","1168","-182","1720","-126","5720","-180","8","-60","2768","-216","2608","-178","24","-164","7080","-159","0","-223","7704","-190","1656","-163","7320","-150","7952","-150","1976","22","0","24","0","?","0","20","16"
"-183","1168","-188","1720","-142","5720","-172","8","-51","2768","-230","2608","-195","24","-151","7080","-177","0","-209","7704","-202","1656","-152","7320","-161","7952","-157","1976","22","0","24","0","?","0","21","24"
"-196","1168","-217","1720","-158","5720","-162","8","-63","2768","-242","2608","-182","24","-163","7080","-171","0","-213","7704","-206","1656","-164","7320","-203","7952","-156","1976","22","0","24","0","?","0","22","8"
"-174","1168","-215","1720","-105","5720","-161","8","-59","2768","-220","2608","-175","24","-136","7080","-166","0","-219","7704","-193","1656","-157","7320","-151","7952","-160","1976","22","0","24","0","?","0","23","8"
"-159","1168","-174","1720","-75","5720","-171","8","-28","2768","-204","2608","-189","24","-133","7080","-178","0","-205","7704","-189","1656","-140","7320","-115","7952","-173","1976","22","0","24","0","?","0","24","8"
"-157","1168","-158","1720","-110","5720","-178","8","-29","2768","-211","2608","-172","24","-161","7080","-156","0","-177","7704","-189","1656","-149","7320","-149","7952","-144","1976","22","0","24","0","?","0","25","24"
"-157","1168","-181","1720","-98","5720","-169","8","-54","2768","-196","2608","-180","24","-104","7080","-175","0","-184","7704","-180","1656","-146","7320","-139","7952","-158","1976","22","0","24","0","?","0","26","8"
"-155","1168","-189","1720","-73","5720","-158","8","-40","2768","-179","2608","-179","24","-45","7080","-166","0","-203","7704","-169","1656","-128","7320","-109","7952","-161","1976","22","0","24","0","?","0","27","24"
"-158","1168","-175","1720","-126","5720","-165","8","-23","2768","-196","2608","-179","24","-148","7080","-156","0","-207","7704","-184","1656","-131","7320","-146","7952","-155","1976","22","0","24","0","?","0","28","16"
"-166","1168","-169","1720","-127","5720","-181","8","-44","2768","-205","2608","-189","24","-213","7080","-180","0","-207","7704","-207","1656","-135","7320","-158","7952","-175","1976","22","0","24","0","?","0","29","16"
"-174","1168","-185","1720","-65","5720","-176","8","-65","2768","-199","2608","-169","24","-90","7080","-164","0","-208","7704","-201","1656","-126","7320","-108","7952","-155","1976","22","0","24","0","?","0","30","0"
"-173","1168","-183","1720","-93","5720","-166","8","-59","2768","-194","2608","-175","24","-16","7080","-177","0","-199","7704","-179","1656","-122","7320","-124","7952","-165","1976","22","0","24","0","?","0","31","0"
"-151","1168","-153","1720","-133","5720","-169","8","-50","2768","-177","2608","-178","24","-105","7080","-171","0","-165","7704","-166","1656","-125","7320","-173","7952","-165","1976","22","0","24","0","?","0","32","24"
"-145","1168","-142","1720","-107","5720","-175","8","-58","2768","-161","2608","-177","24","-188","7080","-154","0","-149","7704","-178","1656","-122","7320","-164","7952","-153","1976","22","0","24","0","?","0","33","0"
"-153","1168","-153","1720","-86","5720","-174","8","-60","2768","-170","2608","-187","24","-127","7080","-175","0","-166","7704","-183","1656","-115","7320","-156","7952","-167","1976","22","0","24","0","?","0","34","0"
"-136","1168","-167","1720","-94","5720","-167","8","-48","2768","-186","2608","-165","24","-61","7080","-160","0","-168","7704","-162","1656","-124","7320","-183","7952","-149","1976","22","0","24","0","?","0","35","8"
"-132","1168","-162","1720","-109","5720","-168","8","-32","2768","-172","2608","-178","24","-86","7080","-178","0","-161","7704","-165","1656","-152","7320","-187","7952","-164","1976","22","0","24","0","?","0","36","8"
"-144","1168","-144","1720","-97","5720","-171","8","-33","2768","-152","2608","-186","24","-92","7080","-179","0","-158","7704","-180","1656","-153","7320","-154","7952","-159","1976","22","0","24","0","?","0","37","16"
"-127","1168","-141","1720","-89","5720","-172","8","-39","2768","-150","2608","-178","24","-98","7080","-160","0","-149","7704","-157","1656","-121","7320","-132","7952","-135","1976","22","0","24","0","?","0","38","0"
"-114","1168","-143","1720","-110","5720","-170","8","-28","2768","-150","2608","-194","24","-156","7080","-182","0","-147","7704","-129","1656","-120","7320","-143","7952","-162","1976","22","0","24","0","?","0","39","8"
"-130","1168","-142","1720","-103","5720","-173","8","-38","2768","-160","2608","-178","24","-174","7080","-167","0","-148","7704","-151","1656","-143","7320","-153","7952","-159","1976","22","0","24","0","?","0","40","24"
"-140","1168","-142","1720","-108","5720","-173","8","-54","2768","-168","2608","-180","24","-124","7080","-172","0","-146","7704","-165","1656","-147","7320","-170","7952","-167","1976","22","0","24","0","?","0","41","16"
